dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
DuckDuckGeese,stl_linear,1000,2,1.0,True,0,0.5599999999999999,1.1054,17.501,18.6064,ok
DuckDuckGeese,stl_tree,1000,2,1.0,True,0,0.52,3.5998,17.501,21.1008,ok
DuckDuckGeese,stl_linear,1000,2,1.0,True,1,0.5599999999999999,0.9266,17.4233,18.3499,ok
DuckDuckGeese,stl_tree,1000,2,1.0,True,1,0.36,0.7224,17.4233,18.1457,ok
DuckDuckGeese,stl_linear,1000,2,1.0,True,2,0.5599999999999999,0.9827,18.6459,19.6286,ok
DuckDuckGeese,stl_tree,1000,2,1.0,True,2,0.34,0.7212,18.6459,19.3671,ok
DuckDuckGeese,stl_linear,1000,2,1.0,True,3,0.52,1.0176,19.5026,20.5202,ok
DuckDuckGeese,stl_tree,1000,2,1.0,True,3,0.45999999999999996,0.7222,19.5026,20.2248,ok
DuckDuckGeese,stl_linear,1000,2,1.0,True,4,0.44000000000000006,1.0429,17.6593,18.7022,ok
DuckDuckGeese,stl_tree,1000,2,1.0,True,4,0.5,0.7325,17.6593,18.3918,ok
DuckDuckGeese,stl_linear,1000,2,1.0,True,5,0.36,0.9744,16.3687,17.3431,ok
DuckDuckGeese,stl_tree,1000,2,1.0,True,5,0.44000000000000006,0.686,16.3687,17.0547,ok
DuckDuckGeese,stl_linear,1000,2,1.0,True,6,0.4999999999999999,1.1387,16.7507,17.8894,ok
DuckDuckGeese,stl_tree,1000,2,1.0,True,6,0.44000000000000006,0.7013,16.7507,17.452,ok
DuckDuckGeese,stl_linear,1000,2,1.0,True,7,0.45999999999999996,0.9023,16.0221,16.9244,ok
DuckDuckGeese,stl_tree,1000,2,1.0,True,7,0.54,0.7409,16.0221,16.763,ok
DuckDuckGeese,stl_linear,1000,2,1.0,True,8,0.45999999999999996,0.9234,16.3862,17.3096,ok
DuckDuckGeese,stl_tree,1000,2,1.0,True,8,0.52,0.71,16.3862,17.0962,ok
DuckDuckGeese,stl_linear,1000,2,1.0,True,9,0.5999999999999999,1.0922,18.1377,19.2299,ok
DuckDuckGeese,stl_tree,1000,2,1.0,True,9,0.4,0.7204,18.1377,18.8581,ok
