dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
DuckDuckGeese,stl_linear,10000,2,1.0,True,0,0.5199999999999999,2.001,177.2558,179.2568,ok
DuckDuckGeese,stl_tree,10000,2,1.0,True,0,0.4,8.1161,177.2558,185.3719,ok
DuckDuckGeese,stl_linear,10000,2,1.0,True,1,0.4,2.0001,171.0219,173.022,ok
DuckDuckGeese,stl_tree,10000,2,1.0,True,1,0.45999999999999996,4.758,171.0219,175.7799,ok
DuckDuckGeese,stl_linear,10000,2,1.0,True,2,0.4,2.1,168.7286,170.8286,ok
DuckDuckGeese,stl_tree,10000,2,1.0,True,2,0.42000000000000004,4.6187,168.7286,173.3473,ok
DuckDuckGeese,stl_linear,10000,2,1.0,True,3,0.45999999999999996,1.9232,171.1059,173.0291,ok
DuckDuckGeese,stl_tree,10000,2,1.0,True,3,0.4800000000000001,4.7583,171.1059,175.8642,ok
DuckDuckGeese,stl_linear,10000,2,1.0,True,4,0.72,1.9963,172.7961,174.7924,ok
DuckDuckGeese,stl_tree,10000,2,1.0,True,4,0.52,4.5583,172.7961,177.3544,ok
DuckDuckGeese,stl_linear,10000,2,1.0,True,5,0.41999999999999993,2.0506,175.8562,177.9068,ok
DuckDuckGeese,stl_tree,10000,2,1.0,True,5,0.43999999999999995,4.7598,175.8562,180.616,ok
DuckDuckGeese,stl_linear,10000,2,1.0,True,6,0.56,1.9989,167.4776,169.4765,ok
DuckDuckGeese,stl_tree,10000,2,1.0,True,6,0.42000000000000004,4.7287,167.4776,172.2063,ok
DuckDuckGeese,stl_linear,10000,2,1.0,True,7,0.52,1.9503,172.99,174.9403,ok
DuckDuckGeese,stl_tree,10000,2,1.0,True,7,0.45999999999999996,4.8922,172.99,177.8822,ok
DuckDuckGeese,stl_linear,10000,2,1.0,True,8,0.58,1.7897,168.9724,170.7621,ok
DuckDuckGeese,stl_tree,10000,2,1.0,True,8,0.4800000000000001,4.7861,168.9724,173.7585,ok
DuckDuckGeese,stl_linear,10000,2,1.0,True,9,0.43999999999999995,2.0507,175.7129,177.7636,ok
DuckDuckGeese,stl_tree,10000,2,1.0,True,9,0.4,4.8156,175.7129,180.5285,ok
