dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
DuckDuckGeese,stl_linear,10,3,1.0,True,0,0.24,1.0229,0.4721,1.495,ok
DuckDuckGeese,stl_tree,10,3,1.0,True,0,0.18,3.3474,0.4721,3.8195,ok
DuckDuckGeese,stl_linear,10,3,1.0,True,1,0.18,1.0198,0.3958,1.4156,ok
DuckDuckGeese,stl_tree,10,3,1.0,True,1,0.19999999999999998,0.2674,0.3958,0.6632,ok
DuckDuckGeese,stl_linear,10,3,1.0,True,2,0.32,1.0604,0.2604,1.3208,ok
DuckDuckGeese,stl_tree,10,3,1.0,True,2,0.26000000000000006,0.2932,0.2604,0.5536,ok
DuckDuckGeese,stl_linear,10,3,1.0,True,3,0.33999999999999997,1.3491,0.6778,2.0269,ok
DuckDuckGeese,stl_tree,10,3,1.0,True,3,0.26,0.2921,0.6778,0.9699,ok
DuckDuckGeese,stl_linear,10,3,1.0,True,4,0.47999999999999987,1.1644,0.2779,1.4423,ok
DuckDuckGeese,stl_tree,10,3,1.0,True,4,0.36,0.2771,0.2779,0.555,ok
DuckDuckGeese,stl_linear,10,3,1.0,True,5,0.27999999999999997,1.0179,0.1771,1.195,ok
DuckDuckGeese,stl_tree,10,3,1.0,True,5,0.3,0.2569,0.1771,0.434,ok
DuckDuckGeese,stl_linear,10,3,1.0,True,6,0.33999999999999997,1.2081,0.3903,1.5984,ok
DuckDuckGeese,stl_tree,10,3,1.0,True,6,0.38,0.2899,0.3903,0.6802,ok
DuckDuckGeese,stl_linear,10,3,1.0,True,7,0.36,1.1224,0.3228,1.4452,ok
DuckDuckGeese,stl_tree,10,3,1.0,True,7,0.32,0.261,0.3228,0.5838,ok
DuckDuckGeese,stl_linear,10,3,1.0,True,8,0.33999999999999997,0.9395,0.5247,1.4642,ok
DuckDuckGeese,stl_tree,10,3,1.0,True,8,0.30000000000000004,0.2478,0.5247,0.7725,ok
DuckDuckGeese,stl_linear,10,3,1.0,True,9,0.26,1.0792,0.0791,1.1583,ok
DuckDuckGeese,stl_tree,10,3,1.0,True,9,0.24000000000000005,0.2704,0.0791,0.3495,ok
