dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
DuckDuckGeese,stl_linear,100,3,1.0,True,0,0.18,1.0284,3.2251,4.2535,ok
DuckDuckGeese,stl_tree,100,3,1.0,True,0,0.38,3.4132,3.2251,6.6383,ok
DuckDuckGeese,stl_linear,100,3,1.0,True,1,0.38,0.962,2.2407,3.2027,ok
DuckDuckGeese,stl_tree,100,3,1.0,True,1,0.32,0.3452,2.2407,2.5859,ok
DuckDuckGeese,stl_linear,100,3,1.0,True,2,0.5,1.1105,2.3639,3.4744,ok
DuckDuckGeese,stl_tree,100,3,1.0,True,2,0.48,0.2898,2.3639,2.6537,ok
DuckDuckGeese,stl_linear,100,3,1.0,True,3,0.45999999999999996,1.0481,2.8721,3.9202,ok
DuckDuckGeese,stl_tree,100,3,1.0,True,3,0.33999999999999997,0.3426,2.8721,3.2147,ok
DuckDuckGeese,stl_linear,100,3,1.0,True,4,0.5,1.0824,1.7947,2.8771,ok
DuckDuckGeese,stl_tree,100,3,1.0,True,4,0.41999999999999993,0.3714,1.7947,2.1661,ok
DuckDuckGeese,stl_linear,100,3,1.0,True,5,0.36,1.0794,2.1248,3.2042,ok
DuckDuckGeese,stl_tree,100,3,1.0,True,5,0.27999999999999997,0.2887,2.1248,2.4135,ok
DuckDuckGeese,stl_linear,100,3,1.0,True,6,0.36,1.033,2.2133,3.2463,ok
DuckDuckGeese,stl_tree,100,3,1.0,True,6,0.36000000000000004,0.3679,2.2133,2.5812,ok
DuckDuckGeese,stl_linear,100,3,1.0,True,7,0.42000000000000004,0.9127,2.0619,2.9746,ok
DuckDuckGeese,stl_tree,100,3,1.0,True,7,0.33999999999999997,0.3465,2.0619,2.4084,ok
DuckDuckGeese,stl_linear,100,3,1.0,True,8,0.42000000000000004,1.0288,2.3775,3.4063,ok
DuckDuckGeese,stl_tree,100,3,1.0,True,8,0.45999999999999996,0.3705,2.3775,2.748,ok
DuckDuckGeese,stl_linear,100,3,1.0,True,9,0.38,1.0992,2.3613,3.4605,ok
DuckDuckGeese,stl_tree,100,3,1.0,True,9,0.32,0.347,2.3613,2.7083,ok
