dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
DuckDuckGeese,stl_linear,1000,3,1.0,True,0,0.48,1.1038,24.6013,25.7051,ok
DuckDuckGeese,stl_tree,1000,3,1.0,True,0,0.4,4.1209,24.6013,28.7222,ok
DuckDuckGeese,stl_linear,1000,3,1.0,True,1,0.42000000000000004,1.153,23.2404,24.3934,ok
DuckDuckGeese,stl_tree,1000,3,1.0,True,1,0.43999999999999995,0.7988,23.2404,24.0392,ok
DuckDuckGeese,stl_linear,1000,3,1.0,True,2,0.48,1.1417,23.9747,25.1164,ok
DuckDuckGeese,stl_tree,1000,3,1.0,True,2,0.4,0.752,23.9747,24.7267,ok
DuckDuckGeese,stl_linear,1000,3,1.0,True,3,0.4999999999999999,1.2755,26.008,27.2835,ok
DuckDuckGeese,stl_tree,1000,3,1.0,True,3,0.4,0.7945,26.008,26.8025,ok
DuckDuckGeese,stl_linear,1000,3,1.0,True,4,0.58,1.1588,22.4656,23.6244,ok
DuckDuckGeese,stl_tree,1000,3,1.0,True,4,0.44000000000000006,0.7907,22.4656,23.2563,ok
DuckDuckGeese,stl_linear,1000,3,1.0,True,5,0.48,1.1885,23.2801,24.4686,ok
DuckDuckGeese,stl_tree,1000,3,1.0,True,5,0.4,0.8384,23.2801,24.1185,ok
DuckDuckGeese,stl_linear,1000,3,1.0,True,6,0.52,1.1749,24.5964,25.7713,ok
DuckDuckGeese,stl_tree,1000,3,1.0,True,6,0.4600000000000001,0.8019,24.5964,25.3983,ok
DuckDuckGeese,stl_linear,1000,3,1.0,True,7,0.48,1.1899,21.8094,22.9993,ok
DuckDuckGeese,stl_tree,1000,3,1.0,True,7,0.4800000000000001,0.759,21.8094,22.5684,ok
DuckDuckGeese,stl_linear,1000,3,1.0,True,8,0.42000000000000004,1.0615,25.3026,26.3641,ok
DuckDuckGeese,stl_tree,1000,3,1.0,True,8,0.36,0.8114,25.3026,26.114,ok
DuckDuckGeese,stl_linear,1000,3,1.0,True,9,0.36,0.9949,24.1711,25.166,ok
DuckDuckGeese,stl_tree,1000,3,1.0,True,9,0.42000000000000004,0.8301,24.1711,25.0012,ok
