dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
DuckDuckGeese,stl_linear,10000,3,1.0,True,0,0.5,2.194,232.7208,234.9148,ok
DuckDuckGeese,stl_tree,10000,3,1.0,True,0,0.4,8.1256,232.7208,240.8464,ok
DuckDuckGeese,stl_linear,10000,3,1.0,True,1,0.5399999999999999,2.2679,228.5624,230.8303,ok
DuckDuckGeese,stl_tree,10000,3,1.0,True,1,0.42000000000000004,4.5849,228.5624,233.1473,ok
DuckDuckGeese,stl_linear,10000,3,1.0,True,2,0.5,2.3455,230.9669,233.3124,ok
DuckDuckGeese,stl_tree,10000,3,1.0,True,2,0.45999999999999996,4.6247,230.9669,235.5916,ok
DuckDuckGeese,stl_linear,10000,3,1.0,True,3,0.44000000000000006,2.3133,232.4826,234.7959,ok
DuckDuckGeese,stl_tree,10000,3,1.0,True,3,0.4,4.8707,232.4826,237.3533,ok
DuckDuckGeese,stl_linear,10000,3,1.0,True,4,0.44000000000000006,2.2882,244.9098,247.198,ok
DuckDuckGeese,stl_tree,10000,3,1.0,True,4,0.45999999999999996,4.9073,244.9098,249.8171,ok
DuckDuckGeese,stl_linear,10000,3,1.0,True,5,0.44000000000000006,2.2712,241.8761,244.1473,ok
DuckDuckGeese,stl_tree,10000,3,1.0,True,5,0.48,4.8942,241.8761,246.7703,ok
DuckDuckGeese,stl_linear,10000,3,1.0,True,6,0.4,2.2665,240.239,242.5055,ok
DuckDuckGeese,stl_tree,10000,3,1.0,True,6,0.33999999999999997,4.851,240.239,245.09,ok
DuckDuckGeese,stl_linear,10000,3,1.0,True,7,0.42000000000000004,2.3336,236.1572,238.4908,ok
DuckDuckGeese,stl_tree,10000,3,1.0,True,7,0.5,4.8682,236.1572,241.0254,ok
DuckDuckGeese,stl_linear,10000,3,1.0,True,8,0.4,2.4482,236.763,239.2112,ok
DuckDuckGeese,stl_tree,10000,3,1.0,True,8,0.44000000000000006,4.9824,236.763,241.7454,ok
DuckDuckGeese,stl_linear,10000,3,1.0,True,9,0.5,2.3578,235.1467,237.5045,ok
DuckDuckGeese,stl_tree,10000,3,1.0,True,9,0.38,5.0048,235.1467,240.1515,ok
