dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
ERing,stl_linear,100,1,0.0,True,0,0.8407407407407406,0.6046,0.0531,0.6577,ok
ERing,stl_tree,100,1,0.0,True,0,0.688888888888889,2.4339,0.0531,2.487,ok
ERing,stl_linear,100,1,0.0,True,1,0.7777777777777777,0.5882,0.0407,0.6289,ok
ERing,stl_tree,100,1,0.0,True,1,0.737037037037037,0.2958,0.0407,0.3365,ok
ERing,stl_linear,100,1,0.0,True,2,0.8074074074074075,0.6052,0.0347,0.6399,ok
ERing,stl_tree,100,1,0.0,True,2,0.6851851851851852,0.2665,0.0347,0.3012,ok
ERing,stl_linear,100,1,0.0,True,3,0.8925925925925925,0.5934,0.0348,0.6282,ok
ERing,stl_tree,100,1,0.0,True,3,0.6518518518518519,0.2793,0.0348,0.3141,ok
ERing,stl_linear,100,1,0.0,True,4,0.8666666666666667,0.5861,0.0346,0.6207,ok
ERing,stl_tree,100,1,0.0,True,4,0.6555555555555556,0.2789,0.0346,0.3135,ok
ERing,stl_linear,100,1,0.0,True,5,0.8888888888888888,0.5887,0.0345,0.6232,ok
ERing,stl_tree,100,1,0.0,True,5,0.774074074074074,0.2713,0.0345,0.3058,ok
ERing,stl_linear,100,1,0.0,True,6,0.9333333333333332,0.5897,0.0355,0.6252,ok
ERing,stl_tree,100,1,0.0,True,6,0.7518518518518519,0.2884,0.0355,0.3239,ok
ERing,stl_linear,100,1,0.0,True,7,0.7851851851851852,0.583,0.0336,0.6166,ok
ERing,stl_tree,100,1,0.0,True,7,0.662962962962963,0.2608,0.0336,0.2944,ok
ERing,stl_linear,100,1,0.0,True,8,0.8777777777777779,0.5806,0.0339,0.6145,ok
ERing,stl_tree,100,1,0.0,True,8,0.7111111111111111,0.2546,0.0339,0.2885,ok
ERing,stl_linear,100,1,0.0,True,9,0.9074074074074074,0.5764,0.0352,0.6116,ok
ERing,stl_tree,100,1,0.0,True,9,0.7703703703703703,0.2778,0.0352,0.313,ok
