dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
ERing,stl_linear,10,1,0.0,True,0,0.662962962962963,0.6155,0.0212,0.6367,ok
ERing,stl_tree,10,1,0.0,True,0,0.7259259259259259,2.3755,0.0212,2.3967,ok
ERing,stl_linear,10,1,0.0,True,1,0.6851851851851851,0.6422,0.007,0.6492,ok
ERing,stl_tree,10,1,0.0,True,1,0.6185185185185186,0.1816,0.007,0.1886,ok
ERing,stl_linear,10,1,0.0,True,2,0.7481481481481481,0.605,0.0052,0.6102,ok
ERing,stl_tree,10,1,0.0,True,2,0.6703703703703704,0.199,0.0052,0.2042,ok
ERing,stl_linear,10,1,0.0,True,3,0.6888888888888888,0.6307,0.0052,0.6359,ok
ERing,stl_tree,10,1,0.0,True,3,0.5925925925925927,0.1764,0.0052,0.1816,ok
ERing,stl_linear,10,1,0.0,True,4,0.7333333333333333,0.603,0.0053,0.6083,ok
ERing,stl_tree,10,1,0.0,True,4,0.6074074074074075,0.1789,0.0053,0.1842,ok
ERing,stl_linear,10,1,0.0,True,5,0.662962962962963,0.7011,0.0057,0.7068,ok
ERing,stl_tree,10,1,0.0,True,5,0.6,0.1939,0.0057,0.1996,ok
ERing,stl_linear,10,1,0.0,True,6,0.7333333333333333,0.6833,0.0051,0.6884,ok
ERing,stl_tree,10,1,0.0,True,6,0.562962962962963,0.1771,0.0051,0.1822,ok
ERing,stl_linear,10,1,0.0,True,7,0.6999999999999998,0.7883,0.0048,0.7931,ok
ERing,stl_tree,10,1,0.0,True,7,0.5518518518518519,0.1645,0.0048,0.1693,ok
ERing,stl_linear,10,1,0.0,True,8,0.7555555555555555,0.6481,0.0049,0.653,ok
ERing,stl_tree,10,1,0.0,True,8,0.6185185185185186,0.1638,0.0049,0.1687,ok
ERing,stl_linear,10,1,0.0,True,9,0.6,0.6633,0.0054,0.6687,ok
ERing,stl_tree,10,1,0.0,True,9,0.49999999999999994,0.1648,0.0054,0.1702,ok
