dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
ERing,stl_linear,10000,1,0.0,True,0,0.7407407407407408,2.6691,3.8453,6.5144,ok
ERing,stl_tree,10000,1,0.0,True,0,0.7185185185185187,4.7362,3.8453,8.5815,ok
ERing,stl_linear,10000,1,0.0,True,1,0.9074074074074074,2.5514,4.035,6.5864,ok
ERing,stl_tree,10000,1,0.0,True,1,0.7148148148148148,2.3712,4.035,6.4062,ok
ERing,stl_linear,10000,1,0.0,True,2,0.737037037037037,2.5931,3.7373,6.3304,ok
ERing,stl_tree,10000,1,0.0,True,2,0.7185185185185184,2.2965,3.7373,6.0338,ok
ERing,stl_linear,10000,1,0.0,True,3,0.9259259259259259,2.5803,3.6071,6.1874,ok
ERing,stl_tree,10000,1,0.0,True,3,0.7296296296296297,2.517,3.6071,6.1241,ok
ERing,stl_linear,10000,1,0.0,True,4,0.7481481481481481,2.4601,3.8327,6.2928,ok
ERing,stl_tree,10000,1,0.0,True,4,0.8111111111111112,2.5776,3.8327,6.4103,ok
ERing,stl_linear,10000,1,0.0,True,5,0.7259259259259259,2.6359,3.5325,6.1684,ok
ERing,stl_tree,10000,1,0.0,True,5,0.762962962962963,2.6,3.5325,6.1325,ok
ERing,stl_linear,10000,1,0.0,True,6,0.9037037037037036,2.4865,3.7851,6.2716,ok
ERing,stl_tree,10000,1,0.0,True,6,0.5777777777777778,2.4911,3.7851,6.2762,ok
ERing,stl_linear,10000,1,0.0,True,7,0.7333333333333334,2.4605,3.6632,6.1237,ok
ERing,stl_tree,10000,1,0.0,True,7,0.837037037037037,2.5556,3.6632,6.2188,ok
ERing,stl_linear,10000,1,0.0,True,8,0.9222222222222222,2.5548,3.7233,6.2781,ok
ERing,stl_tree,10000,1,0.0,True,8,0.7481481481481481,2.6461,3.7233,6.3694,ok
ERing,stl_linear,10000,1,0.0,True,9,0.9296296296296296,2.6152,3.6578,6.273,ok
ERing,stl_tree,10000,1,0.0,True,9,0.7259259259259259,2.6256,3.6578,6.2834,ok
