dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
ERing,stl_linear,10,2,0.0,True,0,0.6851851851851851,0.6866,0.0227,0.7093,ok
ERing,stl_tree,10,2,0.0,True,0,0.6407407407407407,2.5549,0.0227,2.5776,ok
ERing,stl_linear,10,2,0.0,True,1,0.8222222222222223,0.6125,0.0072,0.6197,ok
ERing,stl_tree,10,2,0.0,True,1,0.7000000000000001,0.1941,0.0072,0.2013,ok
ERing,stl_linear,10,2,0.0,True,2,0.8111111111111112,0.6318,0.0061,0.6379,ok
ERing,stl_tree,10,2,0.0,True,2,0.5814814814814815,0.2037,0.0061,0.2098,ok
ERing,stl_linear,10,2,0.0,True,3,0.725925925925926,0.6758,0.0055,0.6813,ok
ERing,stl_tree,10,2,0.0,True,3,0.5000000000000001,0.2111,0.0055,0.2166,ok
ERing,stl_linear,10,2,0.0,True,4,0.6148148148148148,0.6279,0.0071,0.635,ok
ERing,stl_tree,10,2,0.0,True,4,0.6814814814814815,0.1971,0.0071,0.2042,ok
ERing,stl_linear,10,2,0.0,True,5,0.7851851851851852,0.6126,0.0061,0.6187,ok
ERing,stl_tree,10,2,0.0,True,5,0.5703703703703704,0.2001,0.0061,0.2062,ok
ERing,stl_linear,10,2,0.0,True,6,0.7740740740740741,0.6162,0.2972,0.9134,ok
ERing,stl_tree,10,2,0.0,True,6,0.7703703703703703,0.2067,0.2972,0.5039,ok
ERing,stl_linear,10,2,0.0,True,7,0.648148148148148,0.7445,0.0062,0.7507,ok
ERing,stl_tree,10,2,0.0,True,7,0.5185185185185185,0.1788,0.0062,0.185,ok
ERing,stl_linear,10,2,0.0,True,8,0.7111111111111111,0.6325,0.0061,0.6386,ok
ERing,stl_tree,10,2,0.0,True,8,0.5296296296296297,0.2049,0.0061,0.211,ok
ERing,stl_linear,10,2,0.0,True,9,0.7740740740740741,0.6325,0.0066,0.6391,ok
ERing,stl_tree,10,2,0.0,True,9,0.5296296296296297,0.1863,0.0066,0.1929,ok
