dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
ERing,stl_linear,1000,2,0.0,True,0,0.8962962962962963,0.7981,1.2316,2.0297,ok
ERing,stl_tree,1000,2,0.0,True,0,0.7518518518518519,2.9265,1.2316,4.1581,ok
ERing,stl_linear,1000,2,0.0,True,1,0.8703703703703703,0.8065,0.44,1.2465,ok
ERing,stl_tree,1000,2,0.0,True,1,0.8296296296296296,0.5061,0.44,0.9461,ok
ERing,stl_linear,1000,2,0.0,True,2,0.9074074074074074,0.773,0.4312,1.2042,ok
ERing,stl_tree,1000,2,0.0,True,2,0.7592592592592594,0.4809,0.4312,0.9121,ok
ERing,stl_linear,1000,2,0.0,True,3,0.8814814814814816,0.738,0.4135,1.1515,ok
ERing,stl_tree,1000,2,0.0,True,3,0.7555555555555555,0.5785,0.4135,0.992,ok
ERing,stl_linear,1000,2,0.0,True,4,0.8740740740740742,0.7555,0.4672,1.2227,ok
ERing,stl_tree,1000,2,0.0,True,4,0.8074074074074074,0.6083,0.4672,1.0755,ok
ERing,stl_linear,1000,2,0.0,True,5,0.9037037037037036,0.7441,0.4124,1.1565,ok
ERing,stl_tree,1000,2,0.0,True,5,0.7740740740740741,0.5044,0.4124,0.9168,ok
ERing,stl_linear,1000,2,0.0,True,6,0.8148148148148148,0.7435,0.4096,1.1531,ok
ERing,stl_tree,1000,2,0.0,True,6,0.6185185185185185,0.5599,0.4096,0.9695,ok
ERing,stl_linear,1000,2,0.0,True,7,0.7888888888888888,0.8209,0.448,1.2689,ok
ERing,stl_tree,1000,2,0.0,True,7,0.7148148148148148,0.557,0.448,1.005,ok
ERing,stl_linear,1000,2,0.0,True,8,0.8444444444444444,0.8043,0.4215,1.2258,ok
ERing,stl_tree,1000,2,0.0,True,8,0.7518518518518519,0.5722,0.4215,0.9937,ok
ERing,stl_linear,1000,2,0.0,True,9,0.8851851851851852,0.7846,0.4305,1.2151,ok
ERing,stl_tree,1000,2,0.0,True,9,0.6925925925925926,0.4932,0.4305,0.9237,ok
