dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
ERing,stl_linear,10000,2,0.0,True,0,0.8555555555555555,1.8783,4.6548,6.5331,ok
ERing,stl_tree,10000,2,0.0,True,0,0.6407407407407407,4.8728,4.6548,9.5276,ok
ERing,stl_linear,10000,2,0.0,True,1,0.8888888888888888,1.981,4.7177,6.6987,ok
ERing,stl_tree,10000,2,0.0,True,1,0.7296296296296297,2.3872,4.7177,7.1049,ok
ERing,stl_linear,10000,2,0.0,True,2,0.8185185185185185,1.7423,4.404,6.1463,ok
ERing,stl_tree,10000,2,0.0,True,2,0.7555555555555555,2.5889,4.404,6.9929,ok
ERing,stl_linear,10000,2,0.0,True,3,0.6851851851851851,2.114,4.8058,6.9198,ok
ERing,stl_tree,10000,2,0.0,True,3,0.6851851851851851,2.5852,4.8058,7.391,ok
ERing,stl_linear,10000,2,0.0,True,4,0.8444444444444444,1.8977,4.2331,6.1308,ok
ERing,stl_tree,10000,2,0.0,True,4,0.611111111111111,2.5821,4.2331,6.8152,ok
ERing,stl_linear,10000,2,0.0,True,5,0.9,1.8815,4.5282,6.4097,ok
ERing,stl_tree,10000,2,0.0,True,5,0.7592592592592592,2.5182,4.5282,7.0464,ok
ERing,stl_linear,10000,2,0.0,True,6,0.7296296296296295,1.9777,4.2333,6.211,ok
ERing,stl_tree,10000,2,0.0,True,6,0.6703703703703704,2.6782,4.2333,6.9115,ok
ERing,stl_linear,10000,2,0.0,True,7,0.888888888888889,1.9409,4.6215,6.5624,ok
ERing,stl_tree,10000,2,0.0,True,7,0.5814814814814815,2.67,4.6215,7.2915,ok
ERing,stl_linear,10000,2,0.0,True,8,0.8111111111111112,1.6466,4.6939,6.3405,ok
ERing,stl_tree,10000,2,0.0,True,8,0.7851851851851852,2.5789,4.6939,7.2728,ok
ERing,stl_linear,10000,2,0.0,True,9,0.8851851851851852,1.8681,4.3637,6.2318,ok
ERing,stl_tree,10000,2,0.0,True,9,0.7296296296296297,2.4755,4.3637,6.8392,ok
