dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
ERing,stl_linear,10,3,0.0,True,0,0.674074074074074,0.6786,0.3613,1.0399,ok
ERing,stl_tree,10,3,0.0,True,0,0.5222222222222223,2.5226,0.3613,2.8839,ok
ERing,stl_linear,10,3,0.0,True,1,0.6814814814814815,0.7778,0.3182,1.096,ok
ERing,stl_tree,10,3,0.0,True,1,0.4518518518518519,0.223,0.3182,0.5412,ok
ERing,stl_linear,10,3,0.0,True,2,0.7851851851851851,0.7321,0.2271,0.9592,ok
ERing,stl_tree,10,3,0.0,True,2,0.674074074074074,0.2346,0.2271,0.4617,ok
ERing,stl_linear,10,3,0.0,True,3,0.7407407407407408,0.7657,0.1828,0.9485,ok
ERing,stl_tree,10,3,0.0,True,3,0.5703703703703704,0.306,0.1828,0.4888,ok
ERing,stl_linear,10,3,0.0,True,4,0.7111111111111111,0.6411,0.2527,0.8938,ok
ERing,stl_tree,10,3,0.0,True,4,0.5851851851851851,0.2621,0.2527,0.5148,ok
ERing,stl_linear,10,3,0.0,True,5,0.6296296296296297,0.6759,0.3106,0.9865,ok
ERing,stl_tree,10,3,0.0,True,5,0.5962962962962963,0.2595,0.3106,0.5701,ok
ERing,stl_linear,10,3,0.0,True,6,0.6518518518518518,0.6726,0.2104,0.883,ok
ERing,stl_tree,10,3,0.0,True,6,0.7666666666666666,0.2033,0.2104,0.4137,ok
ERing,stl_linear,10,3,0.0,True,7,0.837037037037037,0.6774,0.1843,0.8617,ok
ERing,stl_tree,10,3,0.0,True,7,0.5481481481481482,0.3378,0.1843,0.5221,ok
ERing,stl_linear,10,3,0.0,True,8,0.6555555555555556,0.8185,0.1496,0.9681,ok
ERing,stl_tree,10,3,0.0,True,8,0.6814814814814815,0.2532,0.1496,0.4028,ok
ERing,stl_linear,10,3,0.0,True,9,0.5962962962962963,0.7357,0.0193,0.755,ok
ERing,stl_tree,10,3,0.0,True,9,0.5740740740740741,0.2281,0.0193,0.2474,ok
