dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
ERing,stl_linear,100,3,0.0,True,0,0.9148148148148149,0.6401,0.2168,0.8569,ok
ERing,stl_tree,100,3,0.0,True,0,0.7148148148148148,2.4943,0.2168,2.7111,ok
ERing,stl_linear,100,3,0.0,True,1,0.8962962962962964,0.6359,0.4804,1.1163,ok
ERing,stl_tree,100,3,0.0,True,1,0.7259259259259259,0.2892,0.4804,0.7696,ok
ERing,stl_linear,100,3,0.0,True,2,0.9037037037037038,0.6141,0.1867,0.8008,ok
ERing,stl_tree,100,3,0.0,True,2,0.762962962962963,0.2714,0.1867,0.4581,ok
ERing,stl_linear,100,3,0.0,True,3,0.9222222222222222,0.6094,0.0611,0.6705,ok
ERing,stl_tree,100,3,0.0,True,3,0.5666666666666667,0.2815,0.0611,0.3426,ok
ERing,stl_linear,100,3,0.0,True,4,0.8814814814814816,0.6096,0.6071,1.2167,ok
ERing,stl_tree,100,3,0.0,True,4,0.674074074074074,0.3356,0.6071,0.9427,ok
ERing,stl_linear,100,3,0.0,True,5,0.9148148148148149,0.6121,0.0579,0.67,ok
ERing,stl_tree,100,3,0.0,True,5,0.7777777777777778,0.2806,0.0579,0.3385,ok
ERing,stl_linear,100,3,0.0,True,6,0.8814814814814813,0.612,0.0543,0.6663,ok
ERing,stl_tree,100,3,0.0,True,6,0.6555555555555556,0.3552,0.0543,0.4095,ok
ERing,stl_linear,100,3,0.0,True,7,0.7888888888888889,0.6066,0.0524,0.659,ok
ERing,stl_tree,100,3,0.0,True,7,0.7074074074074074,0.3109,0.0524,0.3633,ok
ERing,stl_linear,100,3,0.0,True,8,0.8851851851851853,0.6176,0.0538,0.6714,ok
ERing,stl_tree,100,3,0.0,True,8,0.8074074074074074,0.2771,0.0538,0.3309,ok
ERing,stl_linear,100,3,0.0,True,9,0.8925925925925927,0.6022,0.0533,0.6555,ok
ERing,stl_tree,100,3,0.0,True,9,0.7592592592592592,0.311,0.0533,0.3643,ok
