dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
ERing,stl_linear,1000,3,0.0,True,0,0.8777777777777779,0.7902,0.5488,1.339,ok
ERing,stl_tree,1000,3,0.0,True,0,0.725925925925926,2.7092,0.5488,3.258,ok
ERing,stl_linear,1000,3,0.0,True,1,0.9333333333333332,0.7308,0.5202,1.251,ok
ERing,stl_tree,1000,3,0.0,True,1,0.8444444444444444,0.5395,0.5202,1.0597,ok
ERing,stl_linear,1000,3,0.0,True,2,0.7740740740740741,0.6995,0.4869,1.1864,ok
ERing,stl_tree,1000,3,0.0,True,2,0.7185185185185184,0.5164,0.4869,1.0033,ok
ERing,stl_linear,1000,3,0.0,True,3,0.7703703703703705,0.7056,0.4922,1.1978,ok
ERing,stl_tree,1000,3,0.0,True,3,0.6592592592592591,0.4676,0.4922,0.9598,ok
ERing,stl_linear,1000,3,0.0,True,4,0.8296296296296295,0.7069,0.4804,1.1873,ok
ERing,stl_tree,1000,3,0.0,True,4,0.6888888888888888,0.5135,0.4804,0.9939,ok
ERing,stl_linear,1000,3,0.0,True,5,0.8777777777777779,0.7031,0.4813,1.1844,ok
ERing,stl_tree,1000,3,0.0,True,5,0.7592592592592592,0.5379,0.4813,1.0192,ok
ERing,stl_linear,1000,3,0.0,True,6,0.762962962962963,0.6983,0.4876,1.1859,ok
ERing,stl_tree,1000,3,0.0,True,6,0.6518518518518519,0.4926,0.4876,0.9802,ok
ERing,stl_linear,1000,3,0.0,True,7,0.9,0.6944,0.5131,1.2075,ok
ERing,stl_tree,1000,3,0.0,True,7,0.7148148148148148,0.4903,0.5131,1.0034,ok
ERing,stl_linear,1000,3,0.0,True,8,0.8222222222222221,0.7102,0.4846,1.1948,ok
ERing,stl_tree,1000,3,0.0,True,8,0.7444444444444445,0.4859,0.4846,0.9705,ok
ERing,stl_linear,1000,3,0.0,True,9,0.7703703703703705,0.6988,0.4967,1.1955,ok
ERing,stl_tree,1000,3,0.0,True,9,0.8037037037037038,0.5054,0.4967,1.0021,ok
