dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
ERing,stl_linear,10000,3,0.0,True,0,0.9074074074074074,1.8048,5.9331,7.7379,ok
ERing,stl_tree,10000,3,0.0,True,0,0.7851851851851851,4.9814,5.9331,10.9145,ok
ERing,stl_linear,10000,3,0.0,True,1,0.8925925925925927,2.0276,5.4185,7.4461,ok
ERing,stl_tree,10000,3,0.0,True,1,0.862962962962963,2.6087,5.4185,8.0272,ok
ERing,stl_linear,10000,3,0.0,True,2,0.9074074074074074,1.798,5.2528,7.0508,ok
ERing,stl_tree,10000,3,0.0,True,2,0.6481481481481481,2.5194,5.2528,7.7722,ok
ERing,stl_linear,10000,3,0.0,True,3,0.7703703703703705,1.7844,5.3035,7.0879,ok
ERing,stl_tree,10000,3,0.0,True,3,0.7592592592592592,2.5566,5.3035,7.8601,ok
ERing,stl_linear,10000,3,0.0,True,4,0.8444444444444446,1.8038,5.5972,7.401,ok
ERing,stl_tree,10000,3,0.0,True,4,0.7074074074074074,2.34,5.5972,7.9372,ok
ERing,stl_linear,10000,3,0.0,True,5,0.9370370370370371,1.672,5.2782,6.9502,ok
ERing,stl_tree,10000,3,0.0,True,5,0.7888888888888889,2.587,5.2782,7.8652,ok
ERing,stl_linear,10000,3,0.0,True,6,0.8296296296296296,1.9239,5.4612,7.3851,ok
ERing,stl_tree,10000,3,0.0,True,6,0.7555555555555555,2.3194,5.4612,7.7806,ok
ERing,stl_linear,10000,3,0.0,True,7,0.762962962962963,1.8826,5.0702,6.9528,ok
ERing,stl_tree,10000,3,0.0,True,7,0.7703703703703705,2.589,5.0702,7.6592,ok
ERing,stl_linear,10000,3,0.0,True,8,0.8851851851851853,1.8884,6.2408,8.1292,ok
ERing,stl_tree,10000,3,0.0,True,8,0.8185185185185185,2.5304,6.2408,8.7712,ok
ERing,stl_linear,10000,3,0.0,True,9,0.9111111111111111,1.7831,5.2998,7.0829,ok
ERing,stl_tree,10000,3,0.0,True,9,0.7222222222222222,2.5167,5.2998,7.8165,ok
