dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
ERing,stl_linear,10,1,1.0,True,0,0.7666666666666666,0.6786,0.1392,0.8178,ok
ERing,stl_tree,10,1,1.0,True,0,0.7296296296296297,2.5576,0.1392,2.6968,ok
ERing,stl_linear,10,1,1.0,True,1,0.7999999999999999,0.6989,0.1435,0.8424,ok
ERing,stl_tree,10,1,1.0,True,1,0.6888888888888888,0.22,0.1435,0.3635,ok
ERing,stl_linear,10,1,1.0,True,2,0.811111111111111,0.6314,0.05,0.6814,ok
ERing,stl_tree,10,1,1.0,True,2,0.7555555555555555,0.2891,0.05,0.3391,ok
ERing,stl_linear,10,1,1.0,True,3,0.725925925925926,0.6636,0.0151,0.6787,ok
ERing,stl_tree,10,1,1.0,True,3,0.5148148148148147,0.2454,0.0151,0.2605,ok
ERing,stl_linear,10,1,1.0,True,4,0.7148148148148148,0.6295,0.0444,0.6739,ok
ERing,stl_tree,10,1,1.0,True,4,0.6703703703703704,0.2415,0.0444,0.2859,ok
ERing,stl_linear,10,1,1.0,True,5,0.6666666666666666,0.6572,0.0239,0.6811,ok
ERing,stl_tree,10,1,1.0,True,5,0.5740740740740741,0.2485,0.0239,0.2724,ok
ERing,stl_linear,10,1,1.0,True,6,0.7888888888888888,0.705,0.0088,0.7138,ok
ERing,stl_tree,10,1,1.0,True,6,0.6925925925925926,0.2287,0.0088,0.2375,ok
ERing,stl_linear,10,1,1.0,True,7,0.6888888888888888,0.637,0.0346,0.6716,ok
ERing,stl_tree,10,1,1.0,True,7,0.5962962962962962,0.2371,0.0346,0.2717,ok
ERing,stl_linear,10,1,1.0,True,8,0.9111111111111111,0.616,0.0625,0.6785,ok
ERing,stl_tree,10,1,1.0,True,8,0.7074074074074074,0.2229,0.0625,0.2854,ok
ERing,stl_linear,10,1,1.0,True,9,0.7185185185185187,0.6782,0.046,0.7242,ok
ERing,stl_tree,10,1,1.0,True,9,0.7111111111111111,0.2076,0.046,0.2536,ok
