dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
ERing,stl_linear,100,1,1.0,True,0,0.8296296296296296,0.6794,0.6353,1.3147,ok
ERing,stl_tree,100,1,1.0,True,0,0.5740740740740741,2.5399,0.6353,3.1752,ok
ERing,stl_linear,100,1,1.0,True,1,0.8111111111111112,0.6752,0.4823,1.1575,ok
ERing,stl_tree,100,1,1.0,True,1,0.6407407407407407,0.2995,0.4823,0.7818,ok
ERing,stl_linear,100,1,1.0,True,2,0.8666666666666667,0.6415,0.6463,1.2878,ok
ERing,stl_tree,100,1,1.0,True,2,0.7037037037037037,0.2806,0.6463,0.9269,ok
ERing,stl_linear,100,1,1.0,True,3,0.8999999999999999,0.6103,0.3756,0.9859,ok
ERing,stl_tree,100,1,1.0,True,3,0.774074074074074,0.2807,0.3756,0.6563,ok
ERing,stl_linear,100,1,1.0,True,4,0.8777777777777778,0.6256,0.4612,1.0868,ok
ERing,stl_tree,100,1,1.0,True,4,0.6703703703703704,0.4221,0.4612,0.8833,ok
ERing,stl_linear,100,1,1.0,True,5,0.8666666666666668,0.7373,0.3669,1.1042,ok
ERing,stl_tree,100,1,1.0,True,5,0.7296296296296297,0.2834,0.3669,0.6503,ok
ERing,stl_linear,100,1,1.0,True,6,0.8555555555555556,0.6221,0.7972,1.4193,ok
ERing,stl_tree,100,1,1.0,True,6,0.5481481481481482,0.2995,0.7972,1.0967,ok
ERing,stl_linear,100,1,1.0,True,7,0.8814814814814814,0.6863,0.2672,0.9535,ok
ERing,stl_tree,100,1,1.0,True,7,0.6,0.3676,0.2672,0.6348,ok
ERing,stl_linear,100,1,1.0,True,8,0.8851851851851852,0.6411,0.2486,0.8897,ok
ERing,stl_tree,100,1,1.0,True,8,0.7444444444444445,0.3232,0.2486,0.5718,ok
ERing,stl_linear,100,1,1.0,True,9,0.7518518518518519,0.6333,0.5201,1.1534,ok
ERing,stl_tree,100,1,1.0,True,9,0.7666666666666667,0.2713,0.5201,0.7914,ok
