dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
ERing,stl_linear,1000,1,1.0,True,0,0.8037037037037037,0.8028,3.6156,4.4184,ok
ERing,stl_tree,1000,1,1.0,True,0,0.7259259259259259,2.8652,3.6156,6.4808,ok
ERing,stl_linear,1000,1,1.0,True,1,0.8185185185185184,0.727,3.5942,4.3212,ok
ERing,stl_tree,1000,1,1.0,True,1,0.7444444444444445,0.5207,3.5942,4.1149,ok
ERing,stl_linear,1000,1,1.0,True,2,0.6999999999999998,0.743,2.9073,3.6503,ok
ERing,stl_tree,1000,1,1.0,True,2,0.8148148148148149,0.5129,2.9073,3.4202,ok
ERing,stl_linear,1000,1,1.0,True,3,0.9222222222222222,0.7448,3.8633,4.6081,ok
ERing,stl_tree,1000,1,1.0,True,3,0.6407407407407407,0.4781,3.8633,4.3414,ok
ERing,stl_linear,1000,1,1.0,True,4,0.8814814814814816,0.7623,3.1077,3.87,ok
ERing,stl_tree,1000,1,1.0,True,4,0.7074074074074074,0.5181,3.1077,3.6258,ok
ERing,stl_linear,1000,1,1.0,True,5,0.8444444444444444,0.7458,3.3412,4.087,ok
ERing,stl_tree,1000,1,1.0,True,5,0.7111111111111111,0.5318,3.3412,3.873,ok
ERing,stl_linear,1000,1,1.0,True,6,0.9,0.7804,3.6949,4.4753,ok
ERing,stl_tree,1000,1,1.0,True,6,0.6481481481481483,0.556,3.6949,4.2509,ok
ERing,stl_linear,1000,1,1.0,True,7,0.8518518518518517,0.8032,3.4877,4.2909,ok
ERing,stl_tree,1000,1,1.0,True,7,0.6518518518518519,0.541,3.4877,4.0287,ok
ERing,stl_linear,1000,1,1.0,True,8,0.7925925925925926,0.731,3.6663,4.3973,ok
ERing,stl_tree,1000,1,1.0,True,8,0.7814814814814816,0.5126,3.6663,4.1789,ok
ERing,stl_linear,1000,1,1.0,True,9,0.8296296296296296,0.7512,3.5717,4.3229,ok
ERing,stl_tree,1000,1,1.0,True,9,0.6962962962962963,0.4981,3.5717,4.0698,ok
