dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
ERing,stl_linear,10000,1,1.0,True,0,0.8925925925925927,2.4551,40.9519,43.407,ok
ERing,stl_tree,10000,1,1.0,True,0,0.688888888888889,5.3198,40.9519,46.2717,ok
ERing,stl_linear,10000,1,1.0,True,1,0.8444444444444444,2.2778,41.3064,43.5842,ok
ERing,stl_tree,10000,1,1.0,True,1,0.7259259259259259,2.5858,41.3064,43.8922,ok
ERing,stl_linear,10000,1,1.0,True,2,0.7111111111111111,2.1023,40.5191,42.6214,ok
ERing,stl_tree,10000,1,1.0,True,2,0.7333333333333334,2.75,40.5191,43.2691,ok
ERing,stl_linear,10000,1,1.0,True,3,0.837037037037037,2.3692,35.217,37.5862,ok
ERing,stl_tree,10000,1,1.0,True,3,0.7407407407407408,2.6583,35.217,37.8753,ok
ERing,stl_linear,10000,1,1.0,True,4,0.8629629629629628,2.1059,38.5853,40.6912,ok
ERing,stl_tree,10000,1,1.0,True,4,0.7703703703703705,2.3926,38.5853,40.9779,ok
ERing,stl_linear,10000,1,1.0,True,5,0.8703703703703702,1.9322,39.3604,41.2926,ok
ERing,stl_tree,10000,1,1.0,True,5,0.5814814814814815,2.5034,39.3604,41.8638,ok
ERing,stl_linear,10000,1,1.0,True,6,0.8740740740740739,2.1614,40.8464,43.0078,ok
ERing,stl_tree,10000,1,1.0,True,6,0.7074074074074074,2.4802,40.8464,43.3266,ok
ERing,stl_linear,10000,1,1.0,True,7,0.9148148148148149,2.2088,39.7473,41.9561,ok
ERing,stl_tree,10000,1,1.0,True,7,0.8111111111111112,2.4558,39.7473,42.2031,ok
ERing,stl_linear,10000,1,1.0,True,8,0.837037037037037,2.2127,38.4115,40.6242,ok
ERing,stl_tree,10000,1,1.0,True,8,0.7518518518518519,2.4176,38.4115,40.8291,ok
ERing,stl_linear,10000,1,1.0,True,9,0.7666666666666666,2.1896,38.6987,40.8883,ok
ERing,stl_tree,10000,1,1.0,True,9,0.7925925925925926,2.5682,38.6987,41.2669,ok
