dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
ERing,stl_linear,1000,2,1.0,True,0,0.8518518518518517,0.7987,4.7038,5.5025,ok
ERing,stl_tree,1000,2,1.0,True,0,0.7518518518518519,3.1286,4.7038,7.8324,ok
ERing,stl_linear,1000,2,1.0,True,1,0.9148148148148149,0.8322,5.1286,5.9608,ok
ERing,stl_tree,1000,2,1.0,True,1,0.7888888888888889,0.5185,5.1286,5.6471,ok
ERing,stl_linear,1000,2,1.0,True,2,0.9518518518518518,0.7688,4.8497,5.6185,ok
ERing,stl_tree,1000,2,1.0,True,2,0.562962962962963,0.529,4.8497,5.3787,ok
ERing,stl_linear,1000,2,1.0,True,3,0.8444444444444444,0.7868,4.9678,5.7546,ok
ERing,stl_tree,1000,2,1.0,True,3,0.7703703703703703,0.5209,4.9678,5.4887,ok
ERing,stl_linear,1000,2,1.0,True,4,0.9,0.805,4.981,5.786,ok
ERing,stl_tree,1000,2,1.0,True,4,0.6407407407407407,0.5102,4.981,5.4912,ok
ERing,stl_linear,1000,2,1.0,True,5,0.8222222222222223,0.7642,5.0275,5.7917,ok
ERing,stl_tree,1000,2,1.0,True,5,0.7037037037037037,0.5167,5.0275,5.5442,ok
ERing,stl_linear,1000,2,1.0,True,6,0.862962962962963,0.7703,5.3071,6.0774,ok
ERing,stl_tree,1000,2,1.0,True,6,0.6333333333333333,0.53,5.3071,5.8371,ok
ERing,stl_linear,1000,2,1.0,True,7,0.8296296296296296,0.7976,4.8663,5.6639,ok
ERing,stl_tree,1000,2,1.0,True,7,0.7222222222222222,0.4991,4.8663,5.3654,ok
ERing,stl_linear,1000,2,1.0,True,8,0.8962962962962964,0.7981,4.867,5.6651,ok
ERing,stl_tree,1000,2,1.0,True,8,0.7259259259259259,0.5333,4.867,5.4003,ok
ERing,stl_linear,1000,2,1.0,True,9,0.8629629629629628,0.782,5.0651,5.8471,ok
ERing,stl_tree,1000,2,1.0,True,9,0.7925925925925926,0.5607,5.0651,5.6258,ok
