dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
ERing,stl_linear,10,3,1.0,True,0,0.7333333333333334,0.796,0.1582,0.9542,ok
ERing,stl_tree,10,3,1.0,True,0,0.7111111111111111,3.0701,0.1582,3.2283,ok
ERing,stl_linear,10,3,1.0,True,1,0.5259259259259259,0.8408,0.2869,1.1277,ok
ERing,stl_tree,10,3,1.0,True,1,0.5259259259259259,0.2901,0.2869,0.577,ok
ERing,stl_linear,10,3,1.0,True,2,0.762962962962963,0.7682,0.0697,0.8379,ok
ERing,stl_tree,10,3,1.0,True,2,0.7851851851851852,0.2657,0.0697,0.3354,ok
ERing,stl_linear,10,3,1.0,True,3,0.6925925925925926,0.8491,0.1406,0.9897,ok
ERing,stl_tree,10,3,1.0,True,3,0.6962962962962962,0.2601,0.1406,0.4007,ok
ERing,stl_linear,10,3,1.0,True,4,0.7925925925925924,0.901,0.1405,1.0415,ok
ERing,stl_tree,10,3,1.0,True,4,0.674074074074074,0.2273,0.1405,0.3678,ok
ERing,stl_linear,10,3,1.0,True,5,0.8592592592592592,0.725,0.0222,0.7472,ok
ERing,stl_tree,10,3,1.0,True,5,0.7148148148148148,0.2581,0.0222,0.2803,ok
ERing,stl_linear,10,3,1.0,True,6,0.7333333333333333,0.8421,0.0639,0.906,ok
ERing,stl_tree,10,3,1.0,True,6,0.6481481481481483,0.2504,0.0639,0.3143,ok
ERing,stl_linear,10,3,1.0,True,7,0.7592592592592594,0.835,0.0975,0.9325,ok
ERing,stl_tree,10,3,1.0,True,7,0.7740740740740741,0.2609,0.0975,0.3584,ok
ERing,stl_linear,10,3,1.0,True,8,0.8333333333333334,0.7797,0.3485,1.1282,ok
ERing,stl_tree,10,3,1.0,True,8,0.7074074074074074,0.2543,0.3485,0.6028,ok
ERing,stl_linear,10,3,1.0,True,9,0.6851851851851851,0.8289,0.0245,0.8534,ok
ERing,stl_tree,10,3,1.0,True,9,0.6148148148148148,0.2579,0.0245,0.2824,ok
