dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
ERing,stl_linear,100,3,1.0,True,0,0.9333333333333332,0.8174,0.9455,1.7629,ok
ERing,stl_tree,100,3,1.0,True,0,0.7703703703703703,3.1942,0.9455,4.1397,ok
ERing,stl_linear,100,3,1.0,True,1,0.851851851851852,0.7234,0.8757,1.5991,ok
ERing,stl_tree,100,3,1.0,True,1,0.7481481481481481,0.3662,0.8757,1.2419,ok
ERing,stl_linear,100,3,1.0,True,2,0.8925925925925925,0.7325,0.8866,1.6191,ok
ERing,stl_tree,100,3,1.0,True,2,0.7407407407407408,0.2974,0.8866,1.184,ok
ERing,stl_linear,100,3,1.0,True,3,0.8962962962962963,0.6874,1.0012,1.6886,ok
ERing,stl_tree,100,3,1.0,True,3,0.8407407407407407,0.3273,1.0012,1.3285,ok
ERing,stl_linear,100,3,1.0,True,4,0.8999999999999999,0.736,0.6723,1.4083,ok
ERing,stl_tree,100,3,1.0,True,4,0.6851851851851851,0.3289,0.6723,1.0012,ok
ERing,stl_linear,100,3,1.0,True,5,0.811111111111111,0.7308,0.9889,1.7197,ok
ERing,stl_tree,100,3,1.0,True,5,0.8296296296296296,0.3361,0.9889,1.325,ok
ERing,stl_linear,100,3,1.0,True,6,0.7407407407407408,0.7445,0.8162,1.5607,ok
ERing,stl_tree,100,3,1.0,True,6,0.5296296296296297,0.4035,0.8162,1.2197,ok
ERing,stl_linear,100,3,1.0,True,7,0.9074074074074074,0.7533,0.9421,1.6954,ok
ERing,stl_tree,100,3,1.0,True,7,0.7814814814814816,0.3321,0.9421,1.2742,ok
ERing,stl_linear,100,3,1.0,True,8,0.8222222222222221,0.7474,0.6487,1.3961,ok
ERing,stl_tree,100,3,1.0,True,8,0.688888888888889,0.339,0.6487,0.9877,ok
ERing,stl_linear,100,3,1.0,True,9,0.7814814814814816,0.6939,1.0241,1.718,ok
ERing,stl_tree,100,3,1.0,True,9,0.6592592592592593,0.3248,1.0241,1.3489,ok
