dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
ERing,stl_linear,1000,3,1.0,True,0,0.8703703703703703,0.7958,8.5408,9.3366,ok
ERing,stl_tree,1000,3,1.0,True,0,0.7777777777777778,3.4086,8.5408,11.9494,ok
ERing,stl_linear,1000,3,1.0,True,1,0.8740740740740739,0.8643,7.1705,8.0348,ok
ERing,stl_tree,1000,3,1.0,True,1,0.6259259259259259,0.5639,7.1705,7.7344,ok
ERing,stl_linear,1000,3,1.0,True,2,0.8444444444444444,0.8879,7.7976,8.6855,ok
ERing,stl_tree,1000,3,1.0,True,2,0.7777777777777778,0.6727,7.7976,8.4703,ok
ERing,stl_linear,1000,3,1.0,True,3,0.9074074074074073,0.8307,7.4308,8.2615,ok
ERing,stl_tree,1000,3,1.0,True,3,0.774074074074074,0.5549,7.4308,7.9857,ok
ERing,stl_linear,1000,3,1.0,True,4,0.7925925925925926,0.7703,8.0867,8.857,ok
ERing,stl_tree,1000,3,1.0,True,4,0.7888888888888889,0.5905,8.0867,8.6772,ok
ERing,stl_linear,1000,3,1.0,True,5,0.9148148148148149,0.8925,7.511,8.4035,ok
ERing,stl_tree,1000,3,1.0,True,5,0.811111111111111,0.5545,7.511,8.0655,ok
ERing,stl_linear,1000,3,1.0,True,6,0.8777777777777778,0.8419,7.369,8.2109,ok
ERing,stl_tree,1000,3,1.0,True,6,0.6444444444444445,0.5353,7.369,7.9043,ok
ERing,stl_linear,1000,3,1.0,True,7,0.8555555555555555,0.8017,6.7756,7.5773,ok
ERing,stl_tree,1000,3,1.0,True,7,0.7666666666666666,0.535,6.7756,7.3106,ok
ERing,stl_linear,1000,3,1.0,True,8,0.8703703703703703,0.8301,9.1835,10.0136,ok
ERing,stl_tree,1000,3,1.0,True,8,0.762962962962963,0.5317,9.1835,9.7152,ok
ERing,stl_linear,1000,3,1.0,True,9,0.8962962962962964,0.8214,7.61,8.4314,ok
ERing,stl_tree,1000,3,1.0,True,9,0.6518518518518519,0.5775,7.61,8.1875,ok
