dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
EigenWorms,stl_linear,10,1,0.0,True,0,0.41908719300023645,0.9248,0.1441,1.0689,ok
EigenWorms,stl_tree,10,1,0.0,True,0,0.4893476571737441,2.3719,0.1441,2.516,ok
EigenWorms,stl_linear,10,1,0.0,True,1,0.40379108813891423,0.8552,0.1247,0.9799,ok
EigenWorms,stl_tree,10,1,0.0,True,1,0.41380088510523294,0.1962,0.1247,0.3209,ok
EigenWorms,stl_linear,10,1,0.0,True,2,0.34640316205533594,0.8686,0.1095,0.9781,ok
EigenWorms,stl_tree,10,1,0.0,True,2,0.49474004256612947,0.2016,0.1095,0.3111,ok
EigenWorms,stl_linear,10,1,0.0,True,3,0.41095300834431264,0.9025,0.085,0.9875,ok
EigenWorms,stl_tree,10,1,0.0,True,3,0.4347846356542009,0.205,0.085,0.29,ok
EigenWorms,stl_linear,10,1,0.0,True,4,0.31191919191919193,0.8529,0.0704,0.9233,ok
EigenWorms,stl_tree,10,1,0.0,True,4,0.38740110131414474,0.2146,0.0704,0.285,ok
EigenWorms,stl_linear,10,1,0.0,True,5,0.32164251207729466,1.0773,0.1129,1.1902,ok
EigenWorms,stl_tree,10,1,0.0,True,5,0.5238667612580656,0.2297,0.1129,0.3426,ok
EigenWorms,stl_linear,10,1,0.0,True,6,0.41474004256612956,0.8079,0.0951,0.903,ok
EigenWorms,stl_tree,10,1,0.0,True,6,0.4143495152190805,0.1987,0.0951,0.2938,ok
EigenWorms,stl_linear,10,1,0.0,True,7,0.36607817303469475,1.0705,0.0778,1.1483,ok
EigenWorms,stl_tree,10,1,0.0,True,7,0.4527732171210432,0.1926,0.0778,0.2704,ok
EigenWorms,stl_linear,10,1,0.0,True,8,0.4734975169757779,1.2924,0.1224,1.4148,ok
EigenWorms,stl_tree,10,1,0.0,True,8,0.43372588763893105,0.1965,0.1224,0.3189,ok
EigenWorms,stl_linear,10,1,0.0,True,9,0.33525353873179964,0.926,0.1515,1.0775,ok
EigenWorms,stl_tree,10,1,0.0,True,9,0.46905712644843084,0.2093,0.1515,0.3608,ok
