dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
EigenWorms,stl_linear,100,1,0.0,True,0,0.5604722813418465,3.099,1.0136,4.1126,ok
EigenWorms,stl_tree,100,1,0.0,True,0,0.5809026722070201,2.6266,1.0136,3.6402,ok
EigenWorms,stl_linear,100,1,0.0,True,1,0.679102057362927,1.3192,0.9162,2.2354,ok
EigenWorms,stl_tree,100,1,0.0,True,1,0.47480693219823655,0.4249,0.9162,1.3411,ok
EigenWorms,stl_linear,100,1,0.0,True,2,0.4781568190263842,1.4593,1.0085,2.4678,ok
EigenWorms,stl_tree,100,1,0.0,True,2,0.46594912334042765,0.412,1.0085,1.4205,ok
EigenWorms,stl_linear,100,1,0.0,True,3,0.5641437789263877,1.1592,0.8843,2.0435,ok
EigenWorms,stl_tree,100,1,0.0,True,3,0.5465592378635857,0.4002,0.8843,1.2845,ok
EigenWorms,stl_linear,100,1,0.0,True,4,0.4231005709266579,1.1998,0.8578,2.0576,ok
EigenWorms,stl_tree,100,1,0.0,True,4,0.5649694267085572,0.4101,0.8578,1.2679,ok
EigenWorms,stl_linear,100,1,0.0,True,5,0.5499888517279822,1.2625,0.8967,2.1592,ok
EigenWorms,stl_tree,100,1,0.0,True,5,0.619528394311003,0.3964,0.8967,1.2931,ok
EigenWorms,stl_linear,100,1,0.0,True,6,0.5383453261714133,1.259,0.9883,2.2473,ok
EigenWorms,stl_tree,100,1,0.0,True,6,0.4498962872875917,0.4039,0.9883,1.3922,ok
EigenWorms,stl_linear,100,1,0.0,True,7,0.49132799567582175,1.1147,0.8921,2.0068,ok
EigenWorms,stl_tree,100,1,0.0,True,7,0.4307266646397081,0.4048,0.8921,1.2969,ok
EigenWorms,stl_linear,100,1,0.0,True,8,0.5567913246174115,1.1193,0.8692,1.9885,ok
EigenWorms,stl_tree,100,1,0.0,True,8,0.48771798250059123,0.4007,0.8692,1.2699,ok
EigenWorms,stl_linear,100,1,0.0,True,9,0.5206209249687511,1.2034,0.7643,1.9677,ok
EigenWorms,stl_tree,100,1,0.0,True,9,0.5267436910915172,0.4147,0.7643,1.179,ok
