dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Epilepsy,stl_linear,10,1,0.0,True,0,0.8724165341812401,0.8511,0.0332,0.8843,ok
Epilepsy,stl_tree,10,1,0.0,True,0,0.7103471118177,3.4376,0.0332,3.4708,ok
Epilepsy,stl_linear,10,1,0.0,True,1,0.863102808691044,0.8548,0.0076,0.8624,ok
Epilepsy,stl_tree,10,1,0.0,True,1,0.7580021197668256,0.2114,0.0076,0.219,ok
Epilepsy,stl_linear,10,1,0.0,True,2,0.8219660837307897,0.8712,0.0068,0.878,ok
Epilepsy,stl_tree,10,1,0.0,True,2,0.7396131425543191,0.2091,0.0068,0.2159,ok
Epilepsy,stl_linear,10,1,0.0,True,3,0.7804054054054054,0.75,0.006,0.756,ok
Epilepsy,stl_tree,10,1,0.0,True,3,0.7721780604133545,0.2276,0.006,0.2336,ok
Epilepsy,stl_linear,10,1,0.0,True,4,0.8809618441971383,0.8811,0.0061,0.8872,ok
Epilepsy,stl_tree,10,1,0.0,True,4,0.7805378908320085,0.2122,0.0061,0.2183,ok
Epilepsy,stl_linear,10,1,0.0,True,5,0.869263381028087,1.0086,0.0067,1.0153,ok
Epilepsy,stl_tree,10,1,0.0,True,5,0.7699390567037626,0.1964,0.0067,0.2031,ok
Epilepsy,stl_linear,10,1,0.0,True,6,0.8656597774244834,0.9059,0.0057,0.9116,ok
Epilepsy,stl_tree,10,1,0.0,True,6,0.8492050874403816,0.2004,0.0057,0.2061,ok
Epilepsy,stl_linear,10,1,0.0,True,7,0.7800211976682565,0.8339,0.0067,0.8406,ok
Epilepsy,stl_tree,10,1,0.0,True,7,0.7612215156332803,0.2002,0.0067,0.2069,ok
Epilepsy,stl_linear,10,1,0.0,True,8,0.8950715421303657,0.8118,0.0065,0.8183,ok
Epilepsy,stl_tree,10,1,0.0,True,8,0.8694753577106519,0.2128,0.0065,0.2193,ok
Epilepsy,stl_linear,10,1,0.0,True,9,0.8799814520402756,0.775,0.0067,0.7817,ok
Epilepsy,stl_tree,10,1,0.0,True,9,0.7596449390567037,0.2164,0.0067,0.2231,ok
