dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Epilepsy,stl_linear,1000,1,0.0,True,0,0.9570747217806042,3.5001,0.5115,4.0116,ok
Epilepsy,stl_tree,1000,1,0.0,True,0,0.7576841547429782,3.7739,0.5115,4.2854,ok
Epilepsy,stl_linear,1000,1,0.0,True,1,0.8779809220985691,3.6609,0.4908,4.1517,ok
Epilepsy,stl_tree,1000,1,0.0,True,1,0.7550874403815581,1.6021,0.4908,2.0929,ok
Epilepsy,stl_linear,1000,1,0.0,True,2,0.9220985691573926,2.9707,0.4892,3.4599,ok
Epilepsy,stl_tree,1000,1,0.0,True,2,0.7765500794912559,1.5881,0.4892,2.0773,ok
Epilepsy,stl_linear,1000,1,0.0,True,3,0.9356120826709061,2.8601,0.4411,3.3012,ok
Epilepsy,stl_tree,1000,1,0.0,True,3,0.7926205617382088,1.5719,0.4411,2.013,ok
Epilepsy,stl_linear,1000,1,0.0,True,4,0.9018282988871223,3.1924,0.4741,3.6665,ok
Epilepsy,stl_tree,1000,1,0.0,True,4,0.7602013778484367,1.5602,0.4741,2.0343,ok
Epilepsy,stl_linear,1000,1,0.0,True,5,0.9284711181770006,2.9819,0.4261,3.408,ok
Epilepsy,stl_tree,1000,1,0.0,True,5,0.7974165341812401,1.5592,0.4261,1.9853,ok
Epilepsy,stl_linear,1000,1,0.0,True,6,0.9147456279809221,2.9221,0.4329,3.355,ok
Epilepsy,stl_tree,1000,1,0.0,True,6,0.7997615262321145,1.5631,0.4329,1.996,ok
Epilepsy,stl_linear,1000,1,0.0,True,7,0.9073926868044515,3.6294,0.4784,4.1078,ok
Epilepsy,stl_tree,1000,1,0.0,True,7,0.7394011658717541,1.5425,0.4784,2.0209,ok
Epilepsy,stl_linear,1000,1,0.0,True,8,0.8984631690514044,2.7369,0.4348,3.1717,ok
Epilepsy,stl_tree,1000,1,0.0,True,8,0.7346714361420245,1.5707,0.4348,2.0055,ok
Epilepsy,stl_linear,1000,1,0.0,True,9,0.9147456279809221,3.2664,0.4625,3.7289,ok
Epilepsy,stl_tree,1000,1,0.0,True,9,0.7449655537890831,1.5394,0.4625,2.0019,ok
