dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Epilepsy,stl_linear,10,2,0.0,True,0,0.8358638049814521,0.7522,0.2947,1.0469,ok
Epilepsy,stl_tree,10,2,0.0,True,0,0.7480922098569158,2.5326,0.2947,2.8273,ok
Epilepsy,stl_linear,10,2,0.0,True,1,0.745429252782194,0.7335,0.2011,0.9346,ok
Epilepsy,stl_tree,10,2,0.0,True,1,0.7496687864334924,0.2353,0.2011,0.4364,ok
Epilepsy,stl_linear,10,2,0.0,True,2,0.7837970323264442,0.639,0.0549,0.6939,ok
Epilepsy,stl_tree,10,2,0.0,True,2,0.7612215156332803,0.2575,0.0549,0.3124,ok
Epilepsy,stl_linear,10,2,0.0,True,3,0.7921303656597775,0.8403,0.251,1.0913,ok
Epilepsy,stl_tree,10,2,0.0,True,3,0.7213036565977742,0.2761,0.251,0.5271,ok
Epilepsy,stl_linear,10,2,0.0,True,4,0.8509538950715421,0.8894,0.1501,1.0395,ok
Epilepsy,stl_tree,10,2,0.0,True,4,0.6772257551669317,0.2585,0.1501,0.4086,ok
Epilepsy,stl_linear,10,2,0.0,True,5,0.8082405935347112,0.8097,0.0949,0.9046,ok
Epilepsy,stl_tree,10,2,0.0,True,5,0.7678325384207737,0.2948,0.0949,0.3897,ok
Epilepsy,stl_linear,10,2,0.0,True,6,0.7804054054054055,0.9701,0.0654,1.0355,ok
Epilepsy,stl_tree,10,2,0.0,True,6,0.7465156332803391,0.2521,0.0654,0.3175,ok
Epilepsy,stl_linear,10,2,0.0,True,7,0.8770005299417064,0.7642,0.0082,0.7724,ok
Epilepsy,stl_tree,10,2,0.0,True,7,0.7341944886062532,0.2275,0.0082,0.2357,ok
Epilepsy,stl_linear,10,2,0.0,True,8,0.8120561738208798,0.9085,0.0082,0.9167,ok
Epilepsy,stl_tree,10,2,0.0,True,8,0.7552331743508214,0.28,0.0082,0.2882,ok
Epilepsy,stl_linear,10,2,0.0,True,9,0.9093932167461579,0.8959,0.0583,0.9542,ok
Epilepsy,stl_tree,10,2,0.0,True,9,0.7847111817700052,0.2651,0.0583,0.3234,ok
