dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Epilepsy,stl_linear,100,2,0.0,True,0,0.9073926868044515,1.1126,0.1091,1.2217,ok
Epilepsy,stl_tree,100,2,0.0,True,0,0.8383147853736089,2.6654,0.1091,2.7745,ok
Epilepsy,stl_linear,100,2,0.0,True,1,0.893879173290938,1.0359,0.061,1.0969,ok
Epilepsy,stl_tree,100,2,0.0,True,1,0.8253974562798093,0.4473,0.061,0.5083,ok
Epilepsy,stl_linear,100,2,0.0,True,2,0.8990593534711182,1.1041,0.0565,1.1606,ok
Epilepsy,stl_tree,100,2,0.0,True,2,0.6847509273979862,0.451,0.0565,0.5075,ok
Epilepsy,stl_linear,100,2,0.0,True,3,0.9238871224165341,0.9453,0.0536,0.9989,ok
Epilepsy,stl_tree,100,2,0.0,True,3,0.8700715421303656,0.387,0.0536,0.4406,ok
Epilepsy,stl_linear,100,2,0.0,True,4,0.9356120826709061,1.0665,0.0584,1.1249,ok
Epilepsy,stl_tree,100,2,0.0,True,4,0.7276762056173821,0.3843,0.0584,0.4427,ok
Epilepsy,stl_linear,100,2,0.0,True,5,0.93620826709062,1.0701,0.0528,1.1229,ok
Epilepsy,stl_tree,100,2,0.0,True,5,0.730087440381558,0.4086,0.0528,0.4614,ok
Epilepsy,stl_linear,100,2,0.0,True,6,0.9064122946475888,0.9953,0.0561,1.0514,ok
Epilepsy,stl_tree,100,2,0.0,True,6,0.7459194488606253,0.3967,0.0561,0.4528,ok
Epilepsy,stl_linear,100,2,0.0,True,7,0.8859300476947536,1.2299,0.0556,1.2855,ok
Epilepsy,stl_tree,100,2,0.0,True,7,0.6561473237943826,0.4057,0.0556,0.4613,ok
Epilepsy,stl_linear,100,2,0.0,True,8,0.9284711181770006,0.9498,0.0525,1.0023,ok
Epilepsy,stl_tree,100,2,0.0,True,8,0.8216481187069423,0.3919,0.0525,0.4444,ok
Epilepsy,stl_linear,100,2,0.0,True,9,0.9493375728669846,0.9134,0.058,0.9714,ok
Epilepsy,stl_tree,100,2,0.0,True,9,0.8115262321144674,0.4201,0.058,0.4781,ok
