dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Epilepsy,stl_linear,1000,2,0.0,True,0,0.9294515103338633,1.9161,0.6212,2.5373,ok
Epilepsy,stl_tree,1000,2,0.0,True,0,0.8522125066242714,3.8022,0.6212,4.4234,ok
Epilepsy,stl_linear,1000,2,0.0,True,1,0.9294515103338633,1.5673,0.6077,2.175,ok
Epilepsy,stl_tree,1000,2,0.0,True,1,0.7613937466878644,1.4793,0.6077,2.087,ok
Epilepsy,stl_linear,1000,2,0.0,True,2,0.9509141494435611,1.9946,0.5731,2.5677,ok
Epilepsy,stl_tree,1000,2,0.0,True,2,0.8401298357180711,1.4689,0.5731,2.042,ok
Epilepsy,stl_linear,1000,2,0.0,True,3,0.9497217806041336,1.7191,0.6308,2.3499,ok
Epilepsy,stl_tree,1000,2,0.0,True,3,0.9066242713301537,1.4581,0.6308,2.0889,ok
Epilepsy,stl_linear,1000,2,0.0,True,4,0.9447535771065183,1.6057,0.5804,2.1861,ok
Epilepsy,stl_tree,1000,2,0.0,True,4,0.864957604663487,1.5398,0.5804,2.1202,ok
Epilepsy,stl_linear,1000,2,0.0,True,5,0.9582670906200319,1.6033,0.5617,2.165,ok
Epilepsy,stl_tree,1000,2,0.0,True,5,0.7839030206677267,1.5041,0.5617,2.0658,ok
Epilepsy,stl_linear,1000,2,0.0,True,6,0.979133545310016,1.8545,0.5392,2.3937,ok
Epilepsy,stl_tree,1000,2,0.0,True,6,0.8294515103338633,1.4729,0.5392,2.0121,ok
Epilepsy,stl_linear,1000,2,0.0,True,7,0.9429650238473768,2.1323,0.5735,2.7058,ok
Epilepsy,stl_tree,1000,2,0.0,True,7,0.7678325384207737,1.5497,0.5735,2.1232,ok
Epilepsy,stl_linear,1000,2,0.0,True,8,0.9576709062003179,1.5467,0.5497,2.0964,ok
Epilepsy,stl_tree,1000,2,0.0,True,8,0.7779544250132485,1.5599,0.5497,2.1096,ok
Epilepsy,stl_linear,1000,2,0.0,True,9,0.9717806041335454,1.437,0.5454,1.9824,ok
Epilepsy,stl_tree,1000,2,0.0,True,9,0.8489931107578167,1.5651,0.5454,2.1105,ok
