dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Epilepsy,stl_linear,10000,2,0.0,True,0,0.9717806041335454,3.8772,6.4452,10.3224,ok
Epilepsy,stl_tree,10000,2,0.0,True,0,0.8470323264440911,14.9597,6.4452,21.4049,ok
Epilepsy,stl_linear,10000,2,0.0,True,1,0.9576709062003179,4.2879,6.8509,11.1388,ok
Epilepsy,stl_tree,10000,2,0.0,True,1,0.8194091149973503,11.4897,6.8509,18.3406,ok
Epilepsy,stl_linear,10000,2,0.0,True,2,0.9576709062003179,4.1915,5.8419,10.0334,ok
Epilepsy,stl_tree,10000,2,0.0,True,2,0.9238871224165341,12.3638,5.8419,18.2057,ok
Epilepsy,stl_linear,10000,2,0.0,True,3,0.9717806041335454,3.6039,6.165,9.7689,ok
Epilepsy,stl_tree,10000,2,0.0,True,3,0.8476947535771066,12.2404,6.165,18.4054,ok
Epilepsy,stl_linear,10000,2,0.0,True,4,0.9717806041335454,3.9315,5.6405,9.572,ok
Epilepsy,stl_tree,10000,2,0.0,True,4,0.8624006359300478,12.1762,5.6405,17.8167,ok
Epilepsy,stl_linear,10000,2,0.0,True,5,0.9576709062003179,3.691,5.8153,9.5063,ok
Epilepsy,stl_tree,10000,2,0.0,True,5,0.8311075781664017,12.0871,5.8153,17.9024,ok
Epilepsy,stl_linear,10000,2,0.0,True,6,0.9858903020667726,4.0717,5.8801,9.9518,ok
Epilepsy,stl_tree,10000,2,0.0,True,6,0.8646793852676206,11.9528,5.8801,17.8329,ok
Epilepsy,stl_linear,10000,2,0.0,True,7,0.9493375728669846,4.368,5.9063,10.2743,ok
Epilepsy,stl_tree,10000,2,0.0,True,7,0.8182167461579226,12.4943,5.9063,18.4006,ok
Epilepsy,stl_linear,10000,2,0.0,True,8,0.9650238473767886,3.5548,5.6004,9.1552,ok
Epilepsy,stl_tree,10000,2,0.0,True,8,0.8293852676205618,12.5152,5.6004,18.1156,ok
Epilepsy,stl_linear,10000,2,0.0,True,9,0.9374006359300477,3.4964,5.7576,9.254,ok
Epilepsy,stl_tree,10000,2,0.0,True,9,0.8986751457339692,11.4023,5.7576,17.1599,ok
