dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Epilepsy,stl_linear,10,3,0.0,True,0,0.709088500264971,0.8987,0.3945,1.2932,ok
Epilepsy,stl_tree,10,3,0.0,True,0,0.7030604133545311,2.6132,0.3945,3.0077,ok
Epilepsy,stl_linear,10,3,0.0,True,1,0.7241785903550609,0.7548,0.1076,0.8624,ok
Epilepsy,stl_tree,10,3,0.0,True,1,0.7824059353471119,0.2523,0.1076,0.3599,ok
Epilepsy,stl_linear,10,3,0.0,True,2,0.7869899311075781,1.0568,0.0091,1.0659,ok
Epilepsy,stl_tree,10,3,0.0,True,2,0.6857710651828299,0.2644,0.0091,0.2735,ok
Epilepsy,stl_linear,10,3,0.0,True,3,0.8213698993110758,0.7451,0.0138,0.7589,ok
Epilepsy,stl_tree,10,3,0.0,True,3,0.8869501854795973,0.2751,0.0138,0.2889,ok
Epilepsy,stl_linear,10,3,0.0,True,4,0.7736883942766295,0.8471,0.0092,0.8563,ok
Epilepsy,stl_tree,10,3,0.0,True,4,0.7739268680445153,0.2338,0.0092,0.243,ok
Epilepsy,stl_linear,10,3,0.0,True,5,0.7985029146793854,1.1045,0.2003,1.3048,ok
Epilepsy,stl_tree,10,3,0.0,True,5,0.7427662957074723,0.2618,0.2003,0.4621,ok
Epilepsy,stl_linear,10,3,0.0,True,6,0.8255696873343933,0.9678,0.1129,1.0807,ok
Epilepsy,stl_tree,10,3,0.0,True,6,0.778060413354531,0.322,0.1129,0.4349,ok
Epilepsy,stl_linear,10,3,0.0,True,7,0.7158320084790674,0.9044,0.0107,0.9151,ok
Epilepsy,stl_tree,10,3,0.0,True,7,0.7377980922098568,0.2439,0.0107,0.2546,ok
Epilepsy,stl_linear,10,3,0.0,True,8,0.7178722840487547,0.935,0.0093,0.9443,ok
Epilepsy,stl_tree,10,3,0.0,True,8,0.7411234764175941,0.239,0.0093,0.2483,ok
Epilepsy,stl_linear,10,3,0.0,True,9,0.729954954954955,1.2107,0.0113,1.222,ok
Epilepsy,stl_tree,10,3,0.0,True,9,0.7574059353471119,0.2346,0.0113,0.2459,ok
