dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Epilepsy,stl_linear,100,3,0.0,True,0,0.900039745627981,0.9499,0.0835,1.0334,ok
Epilepsy,stl_tree,100,3,0.0,True,0,0.7948595654478008,2.675,0.0835,2.7585,ok
Epilepsy,stl_linear,100,3,0.0,True,1,0.900039745627981,1.0355,0.0678,1.1033,ok
Epilepsy,stl_tree,100,3,0.0,True,1,0.7977344992050874,0.4248,0.0678,0.4926,ok
Epilepsy,stl_linear,100,3,0.0,True,2,0.9220985691573926,0.9823,0.0662,1.0485,ok
Epilepsy,stl_tree,100,3,0.0,True,2,0.7357975622681505,0.4174,0.0662,0.4836,ok
Epilepsy,stl_linear,100,3,0.0,True,3,0.9300476947535771,0.9022,0.0721,0.9743,ok
Epilepsy,stl_tree,100,3,0.0,True,3,0.8243773184949655,0.4306,0.0721,0.5027,ok
Epilepsy,stl_linear,100,3,0.0,True,4,0.9570747217806042,0.8536,0.0639,0.9175,ok
Epilepsy,stl_tree,100,3,0.0,True,4,0.8319422363540011,0.4035,0.0639,0.4674,ok
Epilepsy,stl_linear,100,3,0.0,True,5,0.9385930047694754,0.8694,0.0625,0.9319,ok
Epilepsy,stl_tree,100,3,0.0,True,5,0.791852146263911,0.3974,0.0625,0.4599,ok
Epilepsy,stl_linear,100,3,0.0,True,6,0.9503179650238474,0.9205,0.0679,0.9884,ok
Epilepsy,stl_tree,100,3,0.0,True,6,0.8237811340752517,0.4119,0.0679,0.4798,ok
Epilepsy,stl_linear,100,3,0.0,True,7,0.9356120826709061,0.8696,0.0727,0.9423,ok
Epilepsy,stl_tree,100,3,0.0,True,7,0.786248012718601,0.3984,0.0727,0.4711,ok
Epilepsy,stl_linear,100,3,0.0,True,8,0.9499337572866984,1.0451,0.068,1.1131,ok
Epilepsy,stl_tree,100,3,0.0,True,8,0.8472443031266561,0.4162,0.068,0.4842,ok
Epilepsy,stl_linear,100,3,0.0,True,9,0.9284711181770006,0.8422,0.0637,0.9059,ok
Epilepsy,stl_tree,100,3,0.0,True,9,0.7980127186009539,0.4128,0.0637,0.4765,ok
