dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Epilepsy,stl_linear,1000,3,0.0,True,0,0.9717806041335454,1.4863,0.7179,2.2042,ok
Epilepsy,stl_tree,1000,3,0.0,True,0,0.7816640169581347,3.7625,0.7179,4.4804,ok
Epilepsy,stl_linear,1000,3,0.0,True,1,0.9509141494435611,1.3092,0.6751,1.9843,ok
Epilepsy,stl_tree,1000,3,0.0,True,1,0.7829226285108638,1.5419,0.6751,2.217,ok
Epilepsy,stl_linear,1000,3,0.0,True,2,0.9368044515103339,1.5279,0.6449,2.1728,ok
Epilepsy,stl_tree,1000,3,0.0,True,2,0.8025702172760997,1.4657,0.6449,2.1106,ok
Epilepsy,stl_linear,1000,3,0.0,True,3,0.9576709062003179,1.5491,0.6881,2.2372,ok
Epilepsy,stl_tree,1000,3,0.0,True,3,0.8520005299417064,1.4174,0.6881,2.1055,ok
Epilepsy,stl_linear,1000,3,0.0,True,4,0.957670906200318,1.707,0.628,2.335,ok
Epilepsy,stl_tree,1000,3,0.0,True,4,0.8489931107578167,1.5252,0.628,2.1532,ok
Epilepsy,stl_linear,1000,3,0.0,True,5,0.9723767885532592,1.3797,0.6622,2.0419,ok
Epilepsy,stl_tree,1000,3,0.0,True,5,0.7435082140964495,1.4568,0.6622,2.119,ok
Epilepsy,stl_linear,1000,3,0.0,True,6,0.9566905140434552,1.3004,0.6608,1.9612,ok
Epilepsy,stl_tree,1000,3,0.0,True,6,0.7364334923158453,1.5309,0.6608,2.1917,ok
Epilepsy,stl_linear,1000,3,0.0,True,7,0.9435612082670906,1.3556,0.6494,2.005,ok
Epilepsy,stl_tree,1000,3,0.0,True,7,0.8489931107578166,1.3589,0.6494,2.0083,ok
Epilepsy,stl_linear,1000,3,0.0,True,8,0.9085850556438791,1.5782,0.6591,2.2373,ok
Epilepsy,stl_tree,1000,3,0.0,True,8,0.7827106518282989,1.4655,0.6591,2.1246,ok
Epilepsy,stl_linear,1000,3,0.0,True,9,0.9785373608903021,1.3088,0.6709,1.9797,ok
Epilepsy,stl_tree,1000,3,0.0,True,9,0.8615262321144674,1.477,0.6709,2.1479,ok
