dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Epilepsy,stl_linear,10000,3,0.0,True,0,0.9650238473767886,3.8581,7.122,10.9801,ok
Epilepsy,stl_tree,10000,3,0.0,True,0,0.8714361420243774,14.9769,7.122,22.0989,ok
Epilepsy,stl_linear,10000,3,0.0,True,1,0.9650238473767886,3.6127,9.429,13.0417,ok
Epilepsy,stl_tree,10000,3,0.0,True,1,0.7923820879703233,12.35,9.429,21.779,ok
Epilepsy,stl_linear,10000,3,0.0,True,2,0.979133545310016,3.8631,6.9937,10.8568,ok
Epilepsy,stl_tree,10000,3,0.0,True,2,0.8559618441971384,12.238,6.9937,19.2317,ok
Epilepsy,stl_linear,10000,3,0.0,True,3,0.9441573926868044,4.011,7.1397,11.1507,ok
Epilepsy,stl_tree,10000,3,0.0,True,3,0.8525702172760996,12.4045,7.1397,19.5442,ok
Epilepsy,stl_linear,10000,3,0.0,True,4,0.9431770005299417,3.6496,6.8346,10.4842,ok
Epilepsy,stl_tree,10000,3,0.0,True,4,0.8494170641229465,11.6834,6.8346,18.518,ok
Epilepsy,stl_linear,10000,3,0.0,True,5,0.9582670906200319,4.0185,6.9849,11.0034,ok
Epilepsy,stl_tree,10000,3,0.0,True,5,0.9220985691573926,11.7863,6.9849,18.7712,ok
Epilepsy,stl_linear,10000,3,0.0,True,6,0.9515103338632751,4.1248,7.4901,11.6149,ok
Epilepsy,stl_tree,10000,3,0.0,True,6,0.8454557498675146,12.2038,7.4901,19.6939,ok
Epilepsy,stl_linear,10000,3,0.0,True,7,0.9717806041335454,3.6998,7.036,10.7358,ok
Epilepsy,stl_tree,10000,3,0.0,True,7,0.8717143614202438,12.0095,7.036,19.0455,ok
Epilepsy,stl_linear,10000,3,0.0,True,8,0.9717806041335454,3.9793,8.1436,12.1229,ok
Epilepsy,stl_tree,10000,3,0.0,True,8,0.8857578166401695,12.4919,8.1436,20.6355,ok
Epilepsy,stl_linear,10000,3,0.0,True,9,0.9717806041335454,3.4849,7.9094,11.3943,ok
Epilepsy,stl_tree,10000,3,0.0,True,9,0.7629703232644409,12.5475,7.9094,20.4569,ok
