dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Epilepsy,stl_linear,100,1,1.0,True,0,0.9226947535771065,1.1504,2.0838,3.2342,ok
Epilepsy,stl_tree,100,1,1.0,True,0,0.7820879703232645,2.7932,2.0838,4.877,ok
Epilepsy,stl_linear,100,1,1.0,True,1,0.8865262321144675,1.269,1.399,2.668,ok
Epilepsy,stl_tree,100,1,1.0,True,1,0.7670641229464759,0.4052,1.399,1.8042,ok
Epilepsy,stl_linear,100,1,1.0,True,2,0.9431770005299417,1.1377,1.8631,3.0008,ok
Epilepsy,stl_tree,100,1,1.0,True,2,0.8321542130365659,0.4163,1.8631,2.2794,ok
Epilepsy,stl_linear,100,1,1.0,True,3,0.8772125066242713,1.1242,1.2769,2.4011,ok
Epilepsy,stl_tree,100,1,1.0,True,3,0.7485426603073662,0.4441,1.2769,1.721,ok
Epilepsy,stl_linear,100,1,1.0,True,4,0.9588632750397457,1.1022,2.3608,3.463,ok
Epilepsy,stl_tree,100,1,1.0,True,4,0.7810413354531002,0.4568,2.3608,2.8176,ok
Epilepsy,stl_linear,100,1,1.0,True,5,0.9431770005299417,1.1509,1.4352,2.5861,ok
Epilepsy,stl_tree,100,1,1.0,True,5,0.7520800211976684,0.4382,1.4352,1.8734,ok
Epilepsy,stl_linear,100,1,1.0,True,6,0.9215023847376789,1.0305,1.9785,3.009,ok
Epilepsy,stl_tree,100,1,1.0,True,6,0.7822602013778485,0.4187,1.9785,2.3972,ok
Epilepsy,stl_linear,100,1,1.0,True,7,0.8944753577106518,1.0997,0.9189,2.0186,ok
Epilepsy,stl_tree,100,1,1.0,True,7,0.7139507154213036,0.4389,0.9189,1.3578,ok
Epilepsy,stl_linear,100,1,1.0,True,8,0.9509141494435612,0.9069,1.5596,2.4665,ok
Epilepsy,stl_tree,100,1,1.0,True,8,0.7399708532061473,0.4177,1.5596,1.9773,ok
Epilepsy,stl_linear,100,1,1.0,True,9,0.9441573926868044,1.0785,1.5207,2.5992,ok
Epilepsy,stl_tree,100,1,1.0,True,9,0.7513116057233704,0.4282,1.5207,1.9489,ok
