dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Epilepsy,stl_linear,1000,1,1.0,True,0,0.9441573926868044,2.1143,18.6487,20.763,ok
Epilepsy,stl_tree,1000,1,1.0,True,0,0.779915209326974,4.1536,18.6487,22.8023,ok
Epilepsy,stl_linear,1000,1,1.0,True,1,0.9509141494435611,2.3222,16.5914,18.9136,ok
Epilepsy,stl_tree,1000,1,1.0,True,1,0.7775304716481187,1.6401,16.5914,18.2315,ok
Epilepsy,stl_linear,1000,1,1.0,True,2,0.9644276629570747,2.3649,14.798,17.1629,ok
Epilepsy,stl_tree,1000,1,1.0,True,2,0.7493110757816641,1.6016,14.798,16.3996,ok
Epilepsy,stl_linear,1000,1,1.0,True,3,0.9441573926868044,2.1799,19.124,21.3039,ok
Epilepsy,stl_tree,1000,1,1.0,True,3,0.6903153153153152,1.6612,19.124,20.7852,ok
Epilepsy,stl_linear,1000,1,1.0,True,4,0.9582670906200319,2.3015,18.6947,20.9962,ok
Epilepsy,stl_tree,1000,1,1.0,True,4,0.8231849496555379,1.6047,18.6947,20.2994,ok
Epilepsy,stl_linear,1000,1,1.0,True,5,0.9441573926868044,2.1457,17.8704,20.0161,ok
Epilepsy,stl_tree,1000,1,1.0,True,5,0.6776099629040805,1.6502,17.8704,19.5206,ok
Epilepsy,stl_linear,1000,1,1.0,True,6,0.9352278749337573,2.2726,18.8486,21.1212,ok
Epilepsy,stl_tree,1000,1,1.0,True,6,0.6938924218335982,1.6068,18.8486,20.4554,ok
Epilepsy,stl_linear,1000,1,1.0,True,7,0.93620826709062,2.3008,16.7978,19.0986,ok
Epilepsy,stl_tree,1000,1,1.0,True,7,0.6837705352411234,1.6267,16.7978,18.4245,ok
Epilepsy,stl_linear,1000,1,1.0,True,8,0.9441573926868044,2.3059,18.1939,20.4998,ok
Epilepsy,stl_tree,1000,1,1.0,True,8,0.7664016958134605,1.642,18.1939,19.8359,ok
Epilepsy,stl_linear,1000,1,1.0,True,9,0.9711844197138315,1.9451,18.2671,20.2122,ok
Epilepsy,stl_tree,1000,1,1.0,True,9,0.7113275039745628,1.6438,18.2671,19.9109,ok
