dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Epilepsy,stl_linear,10000,1,1.0,True,0,0.9644276629570747,15.9348,196.9451,212.8799,ok
Epilepsy,stl_tree,10000,1,1.0,True,0,0.8022919978802332,17.8986,196.9451,214.8437,ok
Epilepsy,stl_linear,10000,1,1.0,True,1,0.9644276629570747,17.1129,177.6513,194.7642,ok
Epilepsy,stl_tree,10000,1,1.0,True,1,0.762625861155273,13.593,177.6513,191.2443,ok
Epilepsy,stl_linear,10000,1,1.0,True,2,0.941984631690514,18.2569,168.7786,187.0355,ok
Epilepsy,stl_tree,10000,1,1.0,True,2,0.7268680445151035,14.3629,168.7786,183.1415,ok
Epilepsy,stl_linear,10000,1,1.0,True,3,0.9503179650238474,15.99,175.3307,191.3207,ok
Epilepsy,stl_tree,10000,1,1.0,True,3,0.797032326444091,14.0079,175.3307,189.3386,ok
Epilepsy,stl_linear,10000,1,1.0,True,4,0.9582670906200319,16.7215,173.3658,190.0873,ok
Epilepsy,stl_tree,10000,1,1.0,True,4,0.7787228404875464,13.8328,173.3658,187.1986,ok
Epilepsy,stl_linear,10000,1,1.0,True,5,0.9509141494435611,17.652,165.5654,183.2174,ok
Epilepsy,stl_tree,10000,1,1.0,True,5,0.767978272390037,14.7259,165.5654,180.2913,ok
Epilepsy,stl_linear,10000,1,1.0,True,6,0.9576709062003179,16.6173,182.0311,198.6484,ok
Epilepsy,stl_tree,10000,1,1.0,True,6,0.7757154213036566,14.0182,182.0311,196.0493,ok
Epilepsy,stl_linear,10000,1,1.0,True,7,0.93620826709062,14.4914,174.2219,188.7133,ok
Epilepsy,stl_tree,10000,1,1.0,True,7,0.7801271860095389,13.7087,174.2219,187.9306,ok
Epilepsy,stl_linear,10000,1,1.0,True,8,0.9576709062003179,15.8441,166.2234,182.0675,ok
Epilepsy,stl_tree,10000,1,1.0,True,8,0.7588765235824059,13.6933,166.2234,179.9167,ok
Epilepsy,stl_linear,10000,1,1.0,True,9,0.9435612082670906,15.6579,164.4035,180.0614,ok
Epilepsy,stl_tree,10000,1,1.0,True,9,0.6918918918918918,13.6063,164.4035,178.0098,ok
