dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Epilepsy,stl_linear,10,2,1.0,True,0,0.7877980922098569,1.2155,0.5024,1.7179,ok
Epilepsy,stl_tree,10,2,1.0,True,0,0.7157392686804451,2.9026,0.5024,3.405,ok
Epilepsy,stl_linear,10,2,1.0,True,1,0.7750529941706412,0.8245,0.5307,1.3552,ok
Epilepsy,stl_tree,10,2,1.0,True,1,0.6541202967673556,0.253,0.5307,0.7837,ok
Epilepsy,stl_linear,10,2,1.0,True,2,0.7399311075781664,1.0702,0.0692,1.1394,ok
Epilepsy,stl_tree,10,2,1.0,True,2,0.8423025967143614,0.2299,0.0692,0.2991,ok
Epilepsy,stl_linear,10,2,1.0,True,3,0.89611817700053,0.9902,0.7757,1.7659,ok
Epilepsy,stl_tree,10,2,1.0,True,3,0.7964361420243773,0.2706,0.7757,1.0463,ok
Epilepsy,stl_linear,10,2,1.0,True,4,0.69525702172761,0.9345,0.2101,1.1446,ok
Epilepsy,stl_tree,10,2,1.0,True,4,0.7457074721780603,0.2448,0.2101,0.4549,ok
Epilepsy,stl_linear,10,2,1.0,True,5,0.7812135665076843,0.8288,0.3202,1.149,ok
Epilepsy,stl_tree,10,2,1.0,True,5,0.7388049814520402,0.2428,0.3202,0.563,ok
Epilepsy,stl_linear,10,2,1.0,True,6,0.8600953895071543,1.0628,0.2096,1.2724,ok
Epilepsy,stl_tree,10,2,1.0,True,6,0.7653550609432962,0.2229,0.2096,0.4325,ok
Epilepsy,stl_linear,10,2,1.0,True,7,0.7319157392686805,0.9631,0.1237,1.0868,ok
Epilepsy,stl_tree,10,2,1.0,True,7,0.7137784843667196,0.2171,0.1237,0.3408,ok
Epilepsy,stl_linear,10,2,1.0,True,8,0.7417859035506094,1.3488,0.438,1.7868,ok
Epilepsy,stl_tree,10,2,1.0,True,8,0.72844462109168,0.2446,0.438,0.6826,ok
Epilepsy,stl_linear,10,2,1.0,True,9,0.693229994700583,0.8606,0.3624,1.223,ok
Epilepsy,stl_tree,10,2,1.0,True,9,0.6927000529941706,0.2318,0.3624,0.5942,ok
