dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Epilepsy,stl_linear,100,2,1.0,True,0,0.9487413884472709,0.9711,2.2037,3.1748,ok
Epilepsy,stl_tree,100,2,1.0,True,0,0.8486089030206677,3.0439,2.2037,5.2476,ok
Epilepsy,stl_linear,100,2,1.0,True,1,0.9215023847376789,1.0768,3.2976,4.3744,ok
Epilepsy,stl_tree,100,2,1.0,True,1,0.7034446210916799,0.4811,3.2976,3.7787,ok
Epilepsy,stl_linear,100,2,1.0,True,2,0.9215023847376789,1.0411,2.1154,3.1565,ok
Epilepsy,stl_tree,100,2,1.0,True,2,0.8011658717541071,0.4801,2.1154,2.5955,ok
Epilepsy,stl_linear,100,2,1.0,True,3,0.9656200317965025,0.9909,2.901,3.8919,ok
Epilepsy,stl_tree,100,2,1.0,True,3,0.8390832008479068,0.4401,2.901,3.3411,ok
Epilepsy,stl_linear,100,2,1.0,True,4,0.9503179650238474,1.0044,2.1967,3.2011,ok
Epilepsy,stl_tree,100,2,1.0,True,4,0.7427662957074722,0.4432,2.1967,2.6399,ok
Epilepsy,stl_linear,100,2,1.0,True,5,0.9515103338632751,1.0529,3.1119,4.1648,ok
Epilepsy,stl_tree,100,2,1.0,True,5,0.7882087970323265,0.4544,3.1119,3.5663,ok
Epilepsy,stl_linear,100,2,1.0,True,6,0.9425808161102278,1.0674,1.9066,2.974,ok
Epilepsy,stl_tree,100,2,1.0,True,6,0.7794912559618442,0.41,1.9066,2.3166,ok
Epilepsy,stl_linear,100,2,1.0,True,7,0.9147456279809221,0.985,2.0868,3.0718,ok
Epilepsy,stl_tree,100,2,1.0,True,7,0.7853868574456809,0.4215,2.0868,2.5083,ok
Epilepsy,stl_linear,100,2,1.0,True,8,0.9205219925808161,0.9334,1.8643,2.7977,ok
Epilepsy,stl_tree,100,2,1.0,True,8,0.8197933227344992,0.4522,1.8643,2.3165,ok
Epilepsy,stl_linear,100,2,1.0,True,9,0.9650238473767886,1.0988,3.0663,4.1651,ok
Epilepsy,stl_tree,100,2,1.0,True,9,0.7864599894011659,0.4582,3.0663,3.5245,ok
