dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Epilepsy,stl_linear,1000,2,1.0,True,0,0.9650238473767886,1.5429,26.9484,28.4913,ok
Epilepsy,stl_tree,1000,2,1.0,True,0,0.8495892951775305,4.3423,26.9484,31.2907,ok
Epilepsy,stl_linear,1000,2,1.0,True,1,0.9711844197138315,1.5557,23.2305,24.7862,ok
Epilepsy,stl_tree,1000,2,1.0,True,1,0.8452835188129306,1.5974,23.2305,24.8279,ok
Epilepsy,stl_linear,1000,2,1.0,True,2,0.9717806041335454,1.5416,23.9583,25.4999,ok
Epilepsy,stl_tree,1000,2,1.0,True,2,0.7777424483306836,1.6459,23.9583,25.6042,ok
Epilepsy,stl_linear,1000,2,1.0,True,3,0.9582670906200319,1.5598,27.9904,29.5502,ok
Epilepsy,stl_tree,1000,2,1.0,True,3,0.8351616322204557,1.5687,27.9904,29.5591,ok
Epilepsy,stl_linear,1000,2,1.0,True,4,0.9644276629570747,1.6547,27.0263,28.681,ok
Epilepsy,stl_tree,1000,2,1.0,True,4,0.8007154213036567,1.5816,27.0263,28.6079,ok
Epilepsy,stl_linear,1000,2,1.0,True,5,0.9374006359300476,1.7782,26.326,28.1042,ok
Epilepsy,stl_tree,1000,2,1.0,True,5,0.7746687864334924,1.6716,26.326,27.9976,ok
Epilepsy,stl_linear,1000,2,1.0,True,6,0.9711844197138315,1.8083,24.5306,26.3389,ok
Epilepsy,stl_tree,1000,2,1.0,True,6,0.7538685744568098,1.6187,24.5306,26.1493,ok
Epilepsy,stl_linear,1000,2,1.0,True,7,0.9085850556438791,1.8461,23.1056,24.9517,ok
Epilepsy,stl_tree,1000,2,1.0,True,7,0.8037228404875464,1.6176,23.1056,24.7232,ok
Epilepsy,stl_linear,1000,2,1.0,True,8,0.9644276629570747,1.7238,24.6318,26.3556,ok
Epilepsy,stl_tree,1000,2,1.0,True,8,0.7771462639109699,1.6417,24.6318,26.2735,ok
Epilepsy,stl_linear,1000,2,1.0,True,9,0.9858903020667726,1.5907,25.0097,26.6004,ok
Epilepsy,stl_tree,1000,2,1.0,True,9,0.8196873343932167,1.5348,25.0097,26.5445,ok
