dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Epilepsy,stl_linear,10000,2,1.0,True,0,0.9576709062003179,4.3882,231.4962,235.8844,ok
Epilepsy,stl_tree,10000,2,1.0,True,0,0.8245892951775304,16.1838,231.4962,247.68,ok
Epilepsy,stl_linear,10000,2,1.0,True,1,0.9723767885532592,4.6597,223.5225,228.1822,ok
Epilepsy,stl_tree,10000,2,1.0,True,1,0.8932829888712241,12.7334,223.5225,236.2559,ok
Epilepsy,stl_linear,10000,2,1.0,True,2,0.9650238473767886,4.2976,224.1368,228.4344,ok
Epilepsy,stl_tree,10000,2,1.0,True,2,0.8361420243773184,12.946,224.1368,237.0828,ok
Epilepsy,stl_linear,10000,2,1.0,True,3,0.9723767885532592,4.8284,221.9954,226.8238,ok
Epilepsy,stl_tree,10000,2,1.0,True,3,0.8486089030206677,12.9244,221.9954,234.9198,ok
Epilepsy,stl_linear,10000,2,1.0,True,4,0.9717806041335454,4.2867,218.5334,222.8201,ok
Epilepsy,stl_tree,10000,2,1.0,True,4,0.8790010598834129,12.8566,218.5334,231.39,ok
Epilepsy,stl_linear,10000,2,1.0,True,5,0.909181240063593,4.4229,225.4358,229.8587,ok
Epilepsy,stl_tree,10000,2,1.0,True,5,0.7989268680445151,12.6378,225.4358,238.0736,ok
Epilepsy,stl_linear,10000,2,1.0,True,6,0.9588632750397457,4.7959,222.4862,227.2821,ok
Epilepsy,stl_tree,10000,2,1.0,True,6,0.8477742448330684,12.709,222.4862,235.1952,ok
Epilepsy,stl_linear,10000,2,1.0,True,7,0.9447535771065183,4.4665,224.0238,228.4903,ok
Epilepsy,stl_tree,10000,2,1.0,True,7,0.8416799152093271,12.6508,224.0238,236.6746,ok
Epilepsy,stl_linear,10000,2,1.0,True,8,0.9644276629570747,4.5772,216.5674,221.1446,ok
Epilepsy,stl_tree,10000,2,1.0,True,8,0.8662559618441972,12.5389,216.5674,229.1063,ok
Epilepsy,stl_linear,10000,2,1.0,True,9,0.9791335453100158,4.4878,215.2142,219.702,ok
Epilepsy,stl_tree,10000,2,1.0,True,9,0.878192898781134,12.6658,215.2142,227.88,ok
