dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Epilepsy,stl_linear,10,3,1.0,True,0,0.9028749337572868,1.1079,0.6855,1.7934,ok
Epilepsy,stl_tree,10,3,1.0,True,0,0.7958134605193428,3.196,0.6855,3.8815,ok
Epilepsy,stl_linear,10,3,1.0,True,1,0.7085188129305776,0.9024,0.5471,1.4495,ok
Epilepsy,stl_tree,10,3,1.0,True,1,0.7499735029146793,0.294,0.5471,0.8411,ok
Epilepsy,stl_linear,10,3,1.0,True,2,0.7494568097509274,0.9379,0.6016,1.5395,ok
Epilepsy,stl_tree,10,3,1.0,True,2,0.7934287228404876,0.3237,0.6016,0.9253,ok
Epilepsy,stl_linear,10,3,1.0,True,3,0.8372681505034446,1.0131,0.6789,1.692,ok
Epilepsy,stl_tree,10,3,1.0,True,3,0.7371621621621622,0.2781,0.6789,0.957,ok
Epilepsy,stl_linear,10,3,1.0,True,4,0.8523582405935347,0.8587,0.2163,1.075,ok
Epilepsy,stl_tree,10,3,1.0,True,4,0.7179120296767356,0.295,0.2163,0.5113,ok
Epilepsy,stl_linear,10,3,1.0,True,5,0.7540408055113939,0.9945,0.2269,1.2214,ok
Epilepsy,stl_tree,10,3,1.0,True,5,0.7191971383147854,0.316,0.2269,0.5429,ok
Epilepsy,stl_linear,10,3,1.0,True,6,0.8126126126126126,1.0526,0.2056,1.2582,ok
Epilepsy,stl_tree,10,3,1.0,True,6,0.7010333863275039,0.3008,0.2056,0.5064,ok
Epilepsy,stl_linear,10,3,1.0,True,7,0.7244170641229465,0.9492,0.4455,1.3947,ok
Epilepsy,stl_tree,10,3,1.0,True,7,0.722284048754637,0.3132,0.4455,0.7587,ok
Epilepsy,stl_linear,10,3,1.0,True,8,0.7625463698993111,0.8872,0.5619,1.4491,ok
Epilepsy,stl_tree,10,3,1.0,True,8,0.6704689984101748,0.2684,0.5619,0.8303,ok
Epilepsy,stl_linear,10,3,1.0,True,9,0.8742050874403816,1.0934,0.2437,1.3371,ok
Epilepsy,stl_tree,10,3,1.0,True,9,0.7638049814520402,0.2688,0.2437,0.5125,ok
