dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Epilepsy,stl_linear,1000,3,1.0,True,0,0.936804451510334,1.8604,34.632,36.4924,ok
Epilepsy,stl_tree,1000,3,1.0,True,0,0.7717938526762056,4.5006,34.632,39.1326,ok
Epilepsy,stl_linear,1000,3,1.0,True,1,0.9644276629570747,1.6137,30.7082,32.3219,ok
Epilepsy,stl_tree,1000,3,1.0,True,1,0.7937466878643349,1.6194,30.7082,32.3276,ok
Epilepsy,stl_linear,1000,3,1.0,True,2,0.9582670906200319,1.6042,29.8506,31.4548,ok
Epilepsy,stl_tree,1000,3,1.0,True,2,0.8104531001589825,1.5795,29.8506,31.4301,ok
Epilepsy,stl_linear,1000,3,1.0,True,3,0.9312400635930048,1.9757,33.27,35.2457,ok
Epilepsy,stl_tree,1000,3,1.0,True,3,0.7499072602013779,1.6076,33.27,34.8776,ok
Epilepsy,stl_linear,1000,3,1.0,True,4,0.9656200317965024,1.6237,30.5098,32.1335,ok
Epilepsy,stl_tree,1000,3,1.0,True,4,0.7987546369899312,1.5977,30.5098,32.1075,ok
Epilepsy,stl_linear,1000,3,1.0,True,5,0.9435612082670906,2.0449,30.6641,32.709,ok
Epilepsy,stl_tree,1000,3,1.0,True,5,0.8125066242713301,1.7251,30.6641,32.3892,ok
Epilepsy,stl_linear,1000,3,1.0,True,6,0.9499337572866984,1.4589,28.9824,30.4413,ok
Epilepsy,stl_tree,1000,3,1.0,True,6,0.8002914679385268,1.6321,28.9824,30.6145,ok
Epilepsy,stl_linear,1000,3,1.0,True,7,0.9368044515103339,1.5086,30.111,31.6196,ok
Epilepsy,stl_tree,1000,3,1.0,True,7,0.8283386327503974,1.6525,30.111,31.7635,ok
Epilepsy,stl_linear,1000,3,1.0,True,8,0.9717806041335454,1.2756,30.7461,32.0217,ok
Epilepsy,stl_tree,1000,3,1.0,True,8,0.8456677265500796,1.5477,30.7461,32.2938,ok
Epilepsy,stl_linear,1000,3,1.0,True,9,0.9717806041335454,1.86,32.0331,33.8931,ok
Epilepsy,stl_tree,1000,3,1.0,True,9,0.7789348171701111,1.6706,32.0331,33.7037,ok
