dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Epilepsy,stl_linear,10000,3,1.0,True,0,0.9576709062003179,4.4276,278.8088,283.2364,ok
Epilepsy,stl_tree,10000,3,1.0,True,0,0.8829888712241654,15.8333,278.8088,294.6421,ok
Epilepsy,stl_linear,10000,3,1.0,True,1,0.9588632750397457,4.4209,262.3861,266.807,ok
Epilepsy,stl_tree,10000,3,1.0,True,1,0.8535506094329623,13.0073,262.3861,275.3934,ok
Epilepsy,stl_linear,10000,3,1.0,True,2,0.979133545310016,3.6744,257.4853,261.1597,ok
Epilepsy,stl_tree,10000,3,1.0,True,2,0.9181770005299417,12.2668,257.4853,269.7521,ok
Epilepsy,stl_linear,10000,3,1.0,True,3,0.9644276629570747,4.2333,261.7304,265.9637,ok
Epilepsy,stl_tree,10000,3,1.0,True,3,0.75904875463699,12.6024,261.7304,274.3328,ok
Epilepsy,stl_linear,10000,3,1.0,True,4,0.9588632750397457,3.7714,265.2102,268.9816,ok
Epilepsy,stl_tree,10000,3,1.0,True,4,0.899655537890832,13.4419,265.2102,278.6521,ok
Epilepsy,stl_linear,10000,3,1.0,True,5,0.9238871224165343,4.5261,260.3851,264.9112,ok
Epilepsy,stl_tree,10000,3,1.0,True,5,0.8708399576046635,12.9056,260.3851,273.2907,ok
Epilepsy,stl_linear,10000,3,1.0,True,6,0.9503179650238474,4.3243,260.3348,264.6591,ok
Epilepsy,stl_tree,10000,3,1.0,True,6,0.7813460519342873,13.2842,260.3348,273.619,ok
Epilepsy,stl_linear,10000,3,1.0,True,7,0.9300476947535771,4.0343,258.9818,263.0161,ok
Epilepsy,stl_tree,10000,3,1.0,True,7,0.8540010598834129,13.0775,258.9818,272.0593,ok
Epilepsy,stl_linear,10000,3,1.0,True,8,0.9723767885532592,4.4571,263.8858,268.3429,ok
Epilepsy,stl_tree,10000,3,1.0,True,8,0.8225622681505035,12.7012,263.8858,276.587,ok
Epilepsy,stl_linear,10000,3,1.0,True,9,0.9650238473767886,4.5082,262.0448,266.553,ok
Epilepsy,stl_tree,10000,3,1.0,True,9,0.8611420243773185,12.8219,262.0448,274.8667,ok
