dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
EthanolConcentration,stl_linear,100,1,0.0,True,0,0.4798951048951049,8.1814,0.2871,8.4685,ok
EthanolConcentration,stl_tree,100,1,0.0,True,0,0.387004662004662,2.8342,0.2871,3.1213,ok
EthanolConcentration,stl_linear,100,1,0.0,True,1,0.42272727272727273,7.741,0.2499,7.9909,ok
EthanolConcentration,stl_tree,100,1,0.0,True,1,0.3843822843822844,0.7368,0.2499,0.9867,ok
EthanolConcentration,stl_linear,100,1,0.0,True,2,0.3881118881118881,7.4425,0.291,7.7335,ok
EthanolConcentration,stl_tree,100,1,0.0,True,2,0.3532051282051282,0.704,0.291,0.995,ok
EthanolConcentration,stl_linear,100,1,0.0,True,3,0.43036130536130535,7.8093,0.245,8.0543,ok
EthanolConcentration,stl_tree,100,1,0.0,True,3,0.43723776223776223,0.7386,0.245,0.9836,ok
EthanolConcentration,stl_linear,100,1,0.0,True,4,0.5488344988344989,7.3148,0.2149,7.5297,ok
EthanolConcentration,stl_tree,100,1,0.0,True,4,0.40279720279720277,0.7328,0.2149,0.9477,ok
EthanolConcentration,stl_linear,100,1,0.0,True,5,0.5185314685314686,7.4435,0.2394,7.6829,ok
EthanolConcentration,stl_tree,100,1,0.0,True,5,0.3882284382284382,0.7394,0.2394,0.9788,ok
EthanolConcentration,stl_linear,100,1,0.0,True,6,0.40728438228438224,8.5487,0.2621,8.8108,ok
EthanolConcentration,stl_tree,100,1,0.0,True,6,0.39516317016317015,0.7126,0.2621,0.9747,ok
EthanolConcentration,stl_linear,100,1,0.0,True,7,0.3881701631701632,7.8974,0.2013,8.0987,ok
EthanolConcentration,stl_tree,100,1,0.0,True,7,0.3992424242424243,0.7154,0.2013,0.9167,ok
EthanolConcentration,stl_linear,100,1,0.0,True,8,0.45722610722610724,8.0804,0.2354,8.3158,ok
EthanolConcentration,stl_tree,100,1,0.0,True,8,0.42185314685314684,0.7242,0.2354,0.9596,ok
EthanolConcentration,stl_linear,100,1,0.0,True,9,0.5142773892773893,7.5831,0.2196,7.8027,ok
EthanolConcentration,stl_tree,100,1,0.0,True,9,0.4101981351981352,0.7248,0.2196,0.9444,ok
