dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
FaceDetection,stl_linear,1000,1,0.0,True,0,0.5902383654937571,51.0291,2.5336,53.5627,ok
FaceDetection,stl_tree,1000,1,0.0,True,0,0.5190124858115778,156.0403,2.5336,158.5739,ok
FaceDetection,stl_linear,1000,1,0.0,True,1,0.5947786606129399,76.4453,2.8903,79.3356,ok
FaceDetection,stl_tree,1000,1,0.0,True,1,0.5272417707150965,153.5875,2.8903,156.4778,ok
FaceDetection,stl_linear,1000,1,0.0,True,2,0.601305334846765,50.0739,2.6235,52.6974,ok
FaceDetection,stl_tree,1000,1,0.0,True,2,0.51049943246311,157.263,2.6235,159.8865,ok
FaceDetection,stl_linear,1000,1,0.0,True,3,0.5936435868331442,59.5902,2.57,62.1602,ok
FaceDetection,stl_tree,1000,1,0.0,True,3,0.5377412031782065,166.0128,2.57,168.5828,ok
FaceDetection,stl_linear,1000,1,0.0,True,4,0.60527809307605,104.5175,2.5772,107.0947,ok
FaceDetection,stl_tree,1000,1,0.0,True,4,0.5283768444948922,153.4189,2.5772,155.9961,ok
FaceDetection,stl_linear,1000,1,0.0,True,5,0.6126560726447219,63.0788,2.6239,65.7027,ok
FaceDetection,stl_tree,1000,1,0.0,True,5,0.5306469920544836,161.9954,2.6239,164.6193,ok
FaceDetection,stl_linear,1000,1,0.0,True,6,0.6177639046538026,105.9818,2.777,108.7588,ok
FaceDetection,stl_tree,1000,1,0.0,True,6,0.5468217934165721,160.48,2.777,163.257,ok
FaceDetection,stl_linear,1000,1,0.0,True,7,0.6166288308740069,54.4185,2.6143,57.0328,ok
FaceDetection,stl_tree,1000,1,0.0,True,7,0.514755959137344,153.2905,2.6143,155.9048,ok
FaceDetection,stl_linear,1000,1,0.0,True,8,0.6058456299659478,63.3286,2.5597,65.8883,ok
FaceDetection,stl_tree,1000,1,0.0,True,8,0.5499432463110102,156.5153,2.5597,159.075,ok
FaceDetection,stl_linear,1000,1,0.0,True,9,0.6007377979568671,69.2607,2.6103,71.871,ok
FaceDetection,stl_tree,1000,1,0.0,True,9,0.5227014755959138,162.1752,2.6103,164.7855,ok
