dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
FingerMovements,stl_linear,10,1,0.0,True,0,0.4793917567026811,0.4218,0.0241,0.4459,ok
FingerMovements,stl_tree,10,1,0.0,True,0,0.5720288115246098,2.5333,0.0241,2.5574,ok
FingerMovements,stl_linear,10,1,0.0,True,1,0.4401760704281713,0.5268,0.0085,0.5353,ok
FingerMovements,stl_tree,10,1,0.0,True,1,0.45858343337334934,0.2663,0.0085,0.2748,ok
FingerMovements,stl_linear,10,1,0.0,True,2,0.49939975990396157,0.4716,0.0077,0.4793,ok
FingerMovements,stl_tree,10,1,0.0,True,2,0.4935974389755902,0.2577,0.0077,0.2654,ok
FingerMovements,stl_linear,10,1,0.0,True,3,0.3805522208883554,0.4566,0.0071,0.4637,ok
FingerMovements,stl_tree,10,1,0.0,True,3,0.5394157663065227,0.2654,0.0071,0.2725,ok
FingerMovements,stl_linear,10,1,0.0,True,4,0.5496198479391756,0.4847,0.0074,0.4921,ok
FingerMovements,stl_tree,10,1,0.0,True,4,0.44057623049219685,0.2569,0.0074,0.2643,ok
FingerMovements,stl_linear,10,1,0.0,True,5,0.4303721488595438,0.4424,0.0075,0.4499,ok
FingerMovements,stl_tree,10,1,0.0,True,5,0.5104041616646658,0.251,0.0075,0.2585,ok
FingerMovements,stl_linear,10,1,0.0,True,6,0.4503801520608244,0.4628,0.007,0.4698,ok
FingerMovements,stl_tree,10,1,0.0,True,6,0.5378151260504201,0.2451,0.007,0.2521,ok
FingerMovements,stl_linear,10,1,0.0,True,7,0.42997198879551823,0.4052,0.0077,0.4129,ok
FingerMovements,stl_tree,10,1,0.0,True,7,0.45818327330932374,0.2495,0.0077,0.2572,ok
FingerMovements,stl_linear,10,1,0.0,True,8,0.5,0.43,0.0073,0.4373,ok
FingerMovements,stl_tree,10,1,0.0,True,8,0.5912364945978391,0.2613,0.0073,0.2686,ok
FingerMovements,stl_linear,10,1,0.0,True,9,0.46798719487795115,0.4568,0.0084,0.4652,ok
FingerMovements,stl_tree,10,1,0.0,True,9,0.45938375350140054,0.2465,0.0084,0.2549,ok
