dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
FingerMovements,stl_linear,1000,1,0.0,True,0,0.4499799919967987,5.0336,0.3861,5.4197,ok
FingerMovements,stl_tree,1000,1,0.0,True,0,0.47038815526210487,6.8075,0.3861,7.1936,ok
FingerMovements,stl_linear,1000,1,0.0,True,1,0.4287715086034414,4.733,0.4648,5.1978,ok
FingerMovements,stl_tree,1000,1,0.0,True,1,0.49979991996798717,4.6825,0.4648,5.1473,ok
FingerMovements,stl_linear,1000,1,0.0,True,2,0.5508203281312525,4.6229,0.3755,4.9984,ok
FingerMovements,stl_tree,1000,1,0.0,True,2,0.45978391356542614,4.6549,0.3755,5.0304,ok
FingerMovements,stl_linear,1000,1,0.0,True,3,0.5414165666266506,4.7177,0.3684,5.0861,ok
FingerMovements,stl_tree,1000,1,0.0,True,3,0.5186074429771909,5.0041,0.3684,5.3725,ok
FingerMovements,stl_linear,1000,1,0.0,True,4,0.4491796718687475,4.8884,0.356,5.2444,ok
FingerMovements,stl_tree,1000,1,0.0,True,4,0.4087635054021609,4.8083,0.356,5.1643,ok
FingerMovements,stl_linear,1000,1,0.0,True,5,0.5002000800320128,4.9981,0.3685,5.3666,ok
FingerMovements,stl_tree,1000,1,0.0,True,5,0.5296118447378952,4.7605,0.3685,5.129,ok
FingerMovements,stl_linear,1000,1,0.0,True,6,0.5014005602240896,5.0142,0.3602,5.3744,ok
FingerMovements,stl_tree,1000,1,0.0,True,6,0.511204481792717,4.7364,0.3602,5.0966,ok
FingerMovements,stl_linear,1000,1,0.0,True,7,0.47078831532613047,4.8887,0.476,5.3647,ok
FingerMovements,stl_tree,1000,1,0.0,True,7,0.5096038415366146,4.8358,0.476,5.3118,ok
FingerMovements,stl_linear,1000,1,0.0,True,8,0.429171668667467,4.9583,0.387,5.3453,ok
FingerMovements,stl_tree,1000,1,0.0,True,8,0.5716286514605842,4.9258,0.387,5.3128,ok
FingerMovements,stl_linear,1000,1,0.0,True,9,0.4401760704281713,4.7944,0.4027,5.1971,ok
FingerMovements,stl_tree,1000,1,0.0,True,9,0.49819927971188477,4.7877,0.4027,5.1904,ok
