dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
FingerMovements,stl_linear,10000,1,0.0,True,0,0.469187675070028,7.6931,4.2239,11.917,ok
FingerMovements,stl_tree,10000,1,0.0,True,0,0.4385754301720688,48.7473,4.2239,52.9712,ok
FingerMovements,stl_linear,10000,1,0.0,True,1,0.5716286514605842,8.4184,4.4827,12.9011,ok
FingerMovements,stl_tree,10000,1,0.0,True,1,0.5238095238095238,44.5991,4.4827,49.0818,ok
FingerMovements,stl_linear,10000,1,0.0,True,2,0.5504201680672269,7.0006,4.0847,11.0853,ok
FingerMovements,stl_tree,10000,1,0.0,True,2,0.5664265706282513,45.5889,4.0847,49.6736,ok
FingerMovements,stl_linear,10000,1,0.0,True,3,0.5716286514605842,7.8023,4.0063,11.8086,ok
FingerMovements,stl_tree,10000,1,0.0,True,3,0.5802320928371348,48.073,4.0063,52.0793,ok
FingerMovements,stl_linear,10000,1,0.0,True,4,0.4695878351340536,8.3073,4.0199,12.3272,ok
FingerMovements,stl_tree,10000,1,0.0,True,4,0.5006002400960384,47.1687,4.0199,51.1886,ok
FingerMovements,stl_linear,10000,1,0.0,True,5,0.5312124849939976,7.8906,3.9288,11.8194,ok
FingerMovements,stl_tree,10000,1,0.0,True,5,0.5888355342136855,45.1732,3.9288,49.102,ok
FingerMovements,stl_linear,10000,1,0.0,True,6,0.5610244097639056,7.9904,3.918,11.9084,ok
FingerMovements,stl_tree,10000,1,0.0,True,6,0.4633853541416567,47.4678,3.918,51.3858,ok
FingerMovements,stl_linear,10000,1,0.0,True,7,0.5618247298919568,7.7275,4.0082,11.7357,ok
FingerMovements,stl_tree,10000,1,0.0,True,7,0.5132052821128451,47.739,4.0082,51.7472,ok
FingerMovements,stl_linear,10000,1,0.0,True,8,0.4797919167667067,8.0411,4.0871,12.1282,ok
FingerMovements,stl_tree,10000,1,0.0,True,8,0.5194077631052421,47.9402,4.0871,52.0273,ok
FingerMovements,stl_linear,10000,1,0.0,True,9,0.5814325730292116,8.0523,4.1059,12.1582,ok
FingerMovements,stl_tree,10000,1,0.0,True,9,0.4841936774709884,45.1921,4.1059,49.298,ok
