dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
HandMovementDirection,stl_linear,100,1,0.0,True,0,0.25,1.4192,0.0729,1.4921,ok
HandMovementDirection,stl_tree,100,1,0.0,True,0,0.2869047619047619,2.5594,0.0729,2.6323,ok
HandMovementDirection,stl_linear,100,1,0.0,True,1,0.3476190476190476,1.4405,0.0629,1.5034,ok
HandMovementDirection,stl_tree,100,1,0.0,True,1,0.26190476190476186,0.4535,0.0629,0.5164,ok
HandMovementDirection,stl_linear,100,1,0.0,True,2,0.37857142857142856,1.4172,0.0565,1.4737,ok
HandMovementDirection,stl_tree,100,1,0.0,True,2,0.2523809523809524,0.4455,0.0565,0.502,ok
HandMovementDirection,stl_linear,100,1,0.0,True,3,0.3380952380952381,1.5096,0.0549,1.5645,ok
HandMovementDirection,stl_tree,100,1,0.0,True,3,0.4071428571428572,0.4793,0.0549,0.5342,ok
HandMovementDirection,stl_linear,100,1,0.0,True,4,0.475,1.306,0.0547,1.3607,ok
HandMovementDirection,stl_tree,100,1,0.0,True,4,0.27976190476190477,0.4553,0.0547,0.51,ok
HandMovementDirection,stl_linear,100,1,0.0,True,5,0.20357142857142857,1.4758,0.0497,1.5255,ok
HandMovementDirection,stl_tree,100,1,0.0,True,5,0.35,0.4378,0.0497,0.4875,ok
HandMovementDirection,stl_linear,100,1,0.0,True,6,0.23690476190476192,1.6306,0.054,1.6846,ok
HandMovementDirection,stl_tree,100,1,0.0,True,6,0.2357142857142857,0.476,0.054,0.53,ok
HandMovementDirection,stl_linear,100,1,0.0,True,7,0.2892857142857143,1.5736,0.0526,1.6262,ok
HandMovementDirection,stl_tree,100,1,0.0,True,7,0.4238095238095238,0.4164,0.0526,0.469,ok
HandMovementDirection,stl_linear,100,1,0.0,True,8,0.2785714285714285,1.3357,0.0525,1.3882,ok
HandMovementDirection,stl_tree,100,1,0.0,True,8,0.19880952380952382,0.4491,0.0525,0.5016,ok
HandMovementDirection,stl_linear,100,1,0.0,True,9,0.3214285714285714,1.4035,0.062,1.4655,ok
HandMovementDirection,stl_tree,100,1,0.0,True,9,0.22619047619047616,0.4467,0.062,0.5087,ok
