dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
HandMovementDirection,stl_linear,10000,1,0.0,True,0,0.42023809523809524,6.3604,6.4524,12.8128,ok
HandMovementDirection,stl_tree,10000,1,0.0,True,0,0.26190476190476186,25.6063,6.4524,32.0587,ok
HandMovementDirection,stl_linear,10000,1,0.0,True,1,0.25,6.0061,6.3586,12.3647,ok
HandMovementDirection,stl_tree,10000,1,0.0,True,1,0.2845238095238095,21.8167,6.3586,28.1753,ok
HandMovementDirection,stl_linear,10000,1,0.0,True,2,0.4892857142857143,6.3915,5.5425,11.934,ok
HandMovementDirection,stl_tree,10000,1,0.0,True,2,0.2976190476190476,23.6016,5.5425,29.1441,ok
HandMovementDirection,stl_linear,10000,1,0.0,True,3,0.5583333333333333,6.5554,5.8965,12.4519,ok
HandMovementDirection,stl_tree,10000,1,0.0,True,3,0.319047619047619,24.5124,5.8965,30.4089,ok
HandMovementDirection,stl_linear,10000,1,0.0,True,4,0.5595238095238095,6.1524,5.9961,12.1485,ok
HandMovementDirection,stl_tree,10000,1,0.0,True,4,0.3047619047619048,23.1942,5.9961,29.1903,ok
HandMovementDirection,stl_linear,10000,1,0.0,True,5,0.40476190476190477,7.1493,5.9891,13.1384,ok
HandMovementDirection,stl_tree,10000,1,0.0,True,5,0.3404761904761905,23.7258,5.9891,29.7149,ok
HandMovementDirection,stl_linear,10000,1,0.0,True,6,0.5071428571428571,6.3749,5.6548,12.0297,ok
HandMovementDirection,stl_tree,10000,1,0.0,True,6,0.4142857142857143,23.7129,5.6548,29.3677,ok
HandMovementDirection,stl_linear,10000,1,0.0,True,7,0.4464285714285714,6.05,5.9889,12.0389,ok
HandMovementDirection,stl_tree,10000,1,0.0,True,7,0.26309523809523805,22.2883,5.9889,28.2772,ok
HandMovementDirection,stl_linear,10000,1,0.0,True,8,0.5488095238095237,6.8611,5.4702,12.3313,ok
HandMovementDirection,stl_tree,10000,1,0.0,True,8,0.23452380952380952,22.8597,5.4702,28.3299,ok
HandMovementDirection,stl_linear,10000,1,0.0,True,9,0.5154761904761904,6.3855,6.0505,12.436,ok
HandMovementDirection,stl_tree,10000,1,0.0,True,9,0.3023809523809524,22.2636,6.0505,28.3141,ok
