dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
HandMovementDirection,stl_linear,10,1,0.0,True,0,0.25,0.4735,0.0241,0.4976,ok
HandMovementDirection,stl_tree,10,1,0.0,True,0,0.27142857142857146,2.3456,0.0241,2.3697,ok
HandMovementDirection,stl_linear,10,1,0.0,True,1,0.25,0.4117,0.0108,0.4225,ok
HandMovementDirection,stl_tree,10,1,0.0,True,1,0.25357142857142856,0.2216,0.0108,0.2324,ok
HandMovementDirection,stl_linear,10,1,0.0,True,2,0.22499999999999998,0.4636,0.0084,0.472,ok
HandMovementDirection,stl_tree,10,1,0.0,True,2,0.2142857142857143,0.2268,0.0084,0.2352,ok
HandMovementDirection,stl_linear,10,1,0.0,True,3,0.2964285714285714,0.4283,0.0078,0.4361,ok
HandMovementDirection,stl_tree,10,1,0.0,True,3,0.26309523809523805,0.2231,0.0078,0.2309,ok
HandMovementDirection,stl_linear,10,1,0.0,True,4,0.25,0.4436,0.0071,0.4507,ok
HandMovementDirection,stl_tree,10,1,0.0,True,4,0.26904761904761904,0.2337,0.0071,0.2408,ok
HandMovementDirection,stl_linear,10,1,0.0,True,5,0.3464285714285714,0.4658,0.0076,0.4734,ok
HandMovementDirection,stl_tree,10,1,0.0,True,5,0.3476190476190476,0.2333,0.0076,0.2409,ok
HandMovementDirection,stl_linear,10,1,0.0,True,6,0.25,0.706,0.0077,0.7137,ok
HandMovementDirection,stl_tree,10,1,0.0,True,6,0.26309523809523805,0.2242,0.0077,0.2319,ok
HandMovementDirection,stl_linear,10,1,0.0,True,7,0.36904761904761907,0.4432,0.0083,0.4515,ok
HandMovementDirection,stl_tree,10,1,0.0,True,7,0.16904761904761906,0.2188,0.0083,0.2271,ok
HandMovementDirection,stl_linear,10,1,0.0,True,8,0.25,0.4734,0.0081,0.4815,ok
HandMovementDirection,stl_tree,10,1,0.0,True,8,0.22976190476190475,0.2267,0.0081,0.2348,ok
HandMovementDirection,stl_linear,10,1,0.0,True,9,0.30238095238095236,0.4892,0.008,0.4972,ok
HandMovementDirection,stl_tree,10,1,0.0,True,9,0.32738095238095233,0.2052,0.008,0.2132,ok
