dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
HandMovementDirection,stl_linear,100,1,0.0,True,0,0.25,1.4589,0.0698,1.5287,ok
HandMovementDirection,stl_tree,100,1,0.0,True,0,0.2869047619047619,2.666,0.0698,2.7358,ok
HandMovementDirection,stl_linear,100,1,0.0,True,1,0.3476190476190476,1.4335,0.0603,1.4938,ok
HandMovementDirection,stl_tree,100,1,0.0,True,1,0.26190476190476186,0.4389,0.0603,0.4992,ok
HandMovementDirection,stl_linear,100,1,0.0,True,2,0.37857142857142856,1.4271,0.0596,1.4867,ok
HandMovementDirection,stl_tree,100,1,0.0,True,2,0.2523809523809524,0.4345,0.0596,0.4941,ok
HandMovementDirection,stl_linear,100,1,0.0,True,3,0.3380952380952381,1.539,0.0622,1.6012,ok
HandMovementDirection,stl_tree,100,1,0.0,True,3,0.4071428571428572,0.4666,0.0622,0.5288,ok
HandMovementDirection,stl_linear,100,1,0.0,True,4,0.475,1.3299,0.0619,1.3918,ok
HandMovementDirection,stl_tree,100,1,0.0,True,4,0.27976190476190477,0.4716,0.0619,0.5335,ok
HandMovementDirection,stl_linear,100,1,0.0,True,5,0.20357142857142857,1.4629,0.057,1.5199,ok
HandMovementDirection,stl_tree,100,1,0.0,True,5,0.35,0.4312,0.057,0.4882,ok
HandMovementDirection,stl_linear,100,1,0.0,True,6,0.23690476190476192,1.5482,0.0574,1.6056,ok
HandMovementDirection,stl_tree,100,1,0.0,True,6,0.2357142857142857,0.4788,0.0574,0.5362,ok
HandMovementDirection,stl_linear,100,1,0.0,True,7,0.2892857142857143,1.5939,0.0603,1.6542,ok
HandMovementDirection,stl_tree,100,1,0.0,True,7,0.4238095238095238,0.4295,0.0603,0.4898,ok
HandMovementDirection,stl_linear,100,1,0.0,True,8,0.2785714285714285,1.3366,0.0551,1.3917,ok
HandMovementDirection,stl_tree,100,1,0.0,True,8,0.19880952380952382,0.4347,0.0551,0.4898,ok
HandMovementDirection,stl_linear,100,1,0.0,True,9,0.3214285714285714,1.4591,0.0623,1.5214,ok
HandMovementDirection,stl_tree,100,1,0.0,True,9,0.22619047619047616,0.4482,0.0623,0.5105,ok
