dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
HandMovementDirection,stl_linear,10000,1,0.0,True,0,0.42023809523809524,6.5048,6.4583,12.9631,ok
HandMovementDirection,stl_tree,10000,1,0.0,True,0,0.26190476190476186,25.7807,6.4583,32.239,ok
HandMovementDirection,stl_linear,10000,1,0.0,True,1,0.25,6.3629,6.6066,12.9695,ok
HandMovementDirection,stl_tree,10000,1,0.0,True,1,0.2845238095238095,21.7431,6.6066,28.3497,ok
HandMovementDirection,stl_linear,10000,1,0.0,True,2,0.4892857142857143,7.6676,6.4656,14.1332,ok
HandMovementDirection,stl_tree,10000,1,0.0,True,2,0.2976190476190476,23.9502,6.4656,30.4158,ok
HandMovementDirection,stl_linear,10000,1,0.0,True,3,0.5583333333333333,6.5043,6.1219,12.6262,ok
HandMovementDirection,stl_tree,10000,1,0.0,True,3,0.319047619047619,24.9566,6.1219,31.0785,ok
HandMovementDirection,stl_linear,10000,1,0.0,True,4,0.5595238095238095,6.9411,6.2138,13.1549,ok
HandMovementDirection,stl_tree,10000,1,0.0,True,4,0.3047619047619048,23.3054,6.2138,29.5192,ok
HandMovementDirection,stl_linear,10000,1,0.0,True,5,0.40476190476190477,7.5553,6.1377,13.693,ok
HandMovementDirection,stl_tree,10000,1,0.0,True,5,0.3404761904761905,23.7002,6.1377,29.8379,ok
HandMovementDirection,stl_linear,10000,1,0.0,True,6,0.5071428571428571,6.5791,5.897,12.4761,ok
HandMovementDirection,stl_tree,10000,1,0.0,True,6,0.4142857142857143,24.0862,5.897,29.9832,ok
HandMovementDirection,stl_linear,10000,1,0.0,True,7,0.4464285714285714,6.2448,5.7605,12.0053,ok
HandMovementDirection,stl_tree,10000,1,0.0,True,7,0.26309523809523805,22.8062,5.7605,28.5667,ok
HandMovementDirection,stl_linear,10000,1,0.0,True,8,0.5488095238095237,6.3481,5.8117,12.1598,ok
HandMovementDirection,stl_tree,10000,1,0.0,True,8,0.23452380952380952,22.143,5.8117,27.9547,ok
HandMovementDirection,stl_linear,10000,1,0.0,True,9,0.5154761904761904,5.872,6.0771,11.9491,ok
HandMovementDirection,stl_tree,10000,1,0.0,True,9,0.3023809523809524,21.9522,6.0771,28.0293,ok
