dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
HandMovementDirection,stl_linear,100,2,0.0,True,0,0.25,1.5607,0.0874,1.6481,ok
HandMovementDirection,stl_tree,100,2,0.0,True,0,0.21785714285714286,2.7122,0.0874,2.7996,ok
HandMovementDirection,stl_linear,100,2,0.0,True,1,0.3119047619047619,1.4195,0.0792,1.4987,ok
HandMovementDirection,stl_tree,100,2,0.0,True,1,0.2964285714285714,0.4539,0.0792,0.5331,ok
HandMovementDirection,stl_linear,100,2,0.0,True,2,0.2952380952380952,1.6008,0.074,1.6748,ok
HandMovementDirection,stl_tree,100,2,0.0,True,2,0.37142857142857144,0.4568,0.074,0.5308,ok
HandMovementDirection,stl_linear,100,2,0.0,True,3,0.35357142857142854,1.3846,0.0717,1.4563,ok
HandMovementDirection,stl_tree,100,2,0.0,True,3,0.2130952380952381,0.4541,0.0717,0.5258,ok
HandMovementDirection,stl_linear,100,2,0.0,True,4,0.2988095238095238,1.5353,0.072,1.6073,ok
HandMovementDirection,stl_tree,100,2,0.0,True,4,0.2702380952380953,0.4851,0.072,0.5571,ok
HandMovementDirection,stl_linear,100,2,0.0,True,5,0.23452380952380952,1.3925,0.0684,1.4609,ok
HandMovementDirection,stl_tree,100,2,0.0,True,5,0.2523809523809524,0.4596,0.0684,0.528,ok
HandMovementDirection,stl_linear,100,2,0.0,True,6,0.2226190476190476,1.3837,0.0686,1.4523,ok
HandMovementDirection,stl_tree,100,2,0.0,True,6,0.22023809523809526,0.4618,0.0686,0.5304,ok
HandMovementDirection,stl_linear,100,2,0.0,True,7,0.2607142857142857,1.4537,0.0745,1.5282,ok
HandMovementDirection,stl_tree,100,2,0.0,True,7,0.3238095238095238,0.4249,0.0745,0.4994,ok
HandMovementDirection,stl_linear,100,2,0.0,True,8,0.37857142857142856,1.6067,0.0732,1.6799,ok
HandMovementDirection,stl_tree,100,2,0.0,True,8,0.16785714285714284,0.4494,0.0732,0.5226,ok
HandMovementDirection,stl_linear,100,2,0.0,True,9,0.294047619047619,1.3985,0.0667,1.4652,ok
HandMovementDirection,stl_tree,100,2,0.0,True,9,0.30952380952380953,0.4938,0.0667,0.5605,ok
