dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
HandMovementDirection,stl_linear,1000,2,0.0,True,0,0.4952380952380952,2.0453,0.7289,2.7742,ok
HandMovementDirection,stl_tree,1000,2,0.0,True,0,0.3333333333333333,4.9497,0.7289,5.6786,ok
HandMovementDirection,stl_linear,1000,2,0.0,True,1,0.3345238095238095,1.9957,0.7209,2.7166,ok
HandMovementDirection,stl_tree,1000,2,0.0,True,1,0.26666666666666666,2.5067,0.7209,3.2276,ok
HandMovementDirection,stl_linear,1000,2,0.0,True,2,0.3547619047619047,1.8875,0.6692,2.5567,ok
HandMovementDirection,stl_tree,1000,2,0.0,True,2,0.36904761904761907,2.4748,0.6692,3.144,ok
HandMovementDirection,stl_linear,1000,2,0.0,True,3,0.44404761904761897,1.8811,0.6885,2.5696,ok
HandMovementDirection,stl_tree,1000,2,0.0,True,3,0.3488095238095238,2.4734,0.6885,3.1619,ok
HandMovementDirection,stl_linear,1000,2,0.0,True,4,0.39642857142857146,1.9792,0.6557,2.6349,ok
HandMovementDirection,stl_tree,1000,2,0.0,True,4,0.2892857142857143,2.5293,0.6557,3.185,ok
HandMovementDirection,stl_linear,1000,2,0.0,True,5,0.46071428571428563,1.9063,0.6285,2.5348,ok
HandMovementDirection,stl_tree,1000,2,0.0,True,5,0.12738095238095237,2.5302,0.6285,3.1587,ok
HandMovementDirection,stl_linear,1000,2,0.0,True,6,0.45238095238095233,1.8865,0.6898,2.5763,ok
HandMovementDirection,stl_tree,1000,2,0.0,True,6,0.29285714285714287,2.3847,0.6898,3.0745,ok
HandMovementDirection,stl_linear,1000,2,0.0,True,7,0.325,2.0194,0.6443,2.6637,ok
HandMovementDirection,stl_tree,1000,2,0.0,True,7,0.325,2.3875,0.6443,3.0318,ok
HandMovementDirection,stl_linear,1000,2,0.0,True,8,0.30833333333333335,2.0222,0.6482,2.6704,ok
HandMovementDirection,stl_tree,1000,2,0.0,True,8,0.2107142857142857,2.4678,0.6482,3.116,ok
HandMovementDirection,stl_linear,1000,2,0.0,True,9,0.430952380952381,2.0115,0.8136,2.8251,ok
HandMovementDirection,stl_tree,1000,2,0.0,True,9,0.319047619047619,2.3855,0.8136,3.1991,ok
