dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
HandMovementDirection,stl_linear,10000,2,0.0,True,0,0.4892857142857143,5.2091,7.5239,12.733,ok
HandMovementDirection,stl_tree,10000,2,0.0,True,0,0.2773809523809524,24.688,7.5239,32.2119,ok
HandMovementDirection,stl_linear,10000,2,0.0,True,1,0.5214285714285714,4.5357,7.3708,11.9065,ok
HandMovementDirection,stl_tree,10000,2,0.0,True,1,0.31071428571428567,22.2749,7.3708,29.6457,ok
HandMovementDirection,stl_linear,10000,2,0.0,True,2,0.5916666666666667,4.6302,7.5306,12.1608,ok
HandMovementDirection,stl_tree,10000,2,0.0,True,2,0.3130952380952381,23.2875,7.5306,30.8181,ok
HandMovementDirection,stl_linear,10000,2,0.0,True,3,0.4726190476190476,5.2073,7.1173,12.3246,ok
HandMovementDirection,stl_tree,10000,2,0.0,True,3,0.3702380952380952,22.5249,7.1173,29.6422,ok
HandMovementDirection,stl_linear,10000,2,0.0,True,4,0.45714285714285713,4.9259,6.9089,11.8348,ok
HandMovementDirection,stl_tree,10000,2,0.0,True,4,0.2869047619047619,22.372,6.9089,29.2809,ok
HandMovementDirection,stl_linear,10000,2,0.0,True,5,0.4726190476190476,4.4442,6.892,11.3362,ok
HandMovementDirection,stl_tree,10000,2,0.0,True,5,0.3214285714285714,21.9606,6.892,28.8526,ok
HandMovementDirection,stl_linear,10000,2,0.0,True,6,0.5071428571428571,4.7958,6.9596,11.7554,ok
HandMovementDirection,stl_tree,10000,2,0.0,True,6,0.294047619047619,21.5558,6.9596,28.5154,ok
HandMovementDirection,stl_linear,10000,2,0.0,True,7,0.575,5.1487,7.9313,13.08,ok
HandMovementDirection,stl_tree,10000,2,0.0,True,7,0.39761904761904765,21.2386,7.9313,29.1699,ok
HandMovementDirection,stl_linear,10000,2,0.0,True,8,0.563095238095238,4.6289,8.373,13.0019,ok
HandMovementDirection,stl_tree,10000,2,0.0,True,8,0.30357142857142855,22.0793,8.373,30.4523,ok
HandMovementDirection,stl_linear,10000,2,0.0,True,9,0.4380952380952381,4.8488,7.2458,12.0946,ok
HandMovementDirection,stl_tree,10000,2,0.0,True,9,0.20357142857142857,21.9352,7.2458,29.181,ok
