dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
HandMovementDirection,stl_linear,10,3,0.0,True,0,0.25,0.4657,0.0283,0.494,ok
HandMovementDirection,stl_tree,10,3,0.0,True,0,0.31190476190476185,2.5135,0.0283,2.5418,ok
HandMovementDirection,stl_linear,10,3,0.0,True,1,0.25,0.4508,0.0124,0.4632,ok
HandMovementDirection,stl_tree,10,3,0.0,True,1,0.30357142857142855,0.2317,0.0124,0.2441,ok
HandMovementDirection,stl_linear,10,3,0.0,True,2,0.26309523809523805,0.562,0.0125,0.5745,ok
HandMovementDirection,stl_tree,10,3,0.0,True,2,0.30238095238095236,0.254,0.0125,0.2665,ok
HandMovementDirection,stl_linear,10,3,0.0,True,3,0.25,0.4776,0.3043,0.7819,ok
HandMovementDirection,stl_tree,10,3,0.0,True,3,0.2952380952380952,0.2304,0.3043,0.5347,ok
HandMovementDirection,stl_linear,10,3,0.0,True,4,0.3214285714285714,0.4589,0.0114,0.4703,ok
HandMovementDirection,stl_tree,10,3,0.0,True,4,0.37023809523809526,0.2359,0.0114,0.2473,ok
HandMovementDirection,stl_linear,10,3,0.0,True,5,0.2833333333333333,0.4734,0.0102,0.4836,ok
HandMovementDirection,stl_tree,10,3,0.0,True,5,0.29166666666666663,0.2261,0.0102,0.2363,ok
HandMovementDirection,stl_linear,10,3,0.0,True,6,0.25,0.4489,0.0107,0.4596,ok
HandMovementDirection,stl_tree,10,3,0.0,True,6,0.22857142857142856,0.2532,0.0107,0.2639,ok
HandMovementDirection,stl_linear,10,3,0.0,True,7,0.20833333333333331,0.4425,0.0111,0.4536,ok
HandMovementDirection,stl_tree,10,3,0.0,True,7,0.1880952380952381,0.2424,0.0111,0.2535,ok
HandMovementDirection,stl_linear,10,3,0.0,True,8,0.3261904761904762,0.4603,0.0103,0.4706,ok
HandMovementDirection,stl_tree,10,3,0.0,True,8,0.18333333333333335,0.2386,0.0103,0.2489,ok
HandMovementDirection,stl_linear,10,3,0.0,True,9,0.25476190476190474,0.4514,0.0093,0.4607,ok
HandMovementDirection,stl_tree,10,3,0.0,True,9,0.22023809523809526,0.2258,0.0093,0.2351,ok
