dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
HandMovementDirection,stl_linear,100,3,0.0,True,0,0.4369047619047619,1.3834,0.0995,1.4829,ok
HandMovementDirection,stl_tree,100,3,0.0,True,0,0.2785714285714285,2.7187,0.0995,2.8182,ok
HandMovementDirection,stl_linear,100,3,0.0,True,1,0.25,1.4178,0.0957,1.5135,ok
HandMovementDirection,stl_tree,100,3,0.0,True,1,0.20714285714285713,0.4612,0.0957,0.5569,ok
HandMovementDirection,stl_linear,100,3,0.0,True,2,0.244047619047619,1.4264,0.0813,1.5077,ok
HandMovementDirection,stl_tree,100,3,0.0,True,2,0.2464285714285714,0.4545,0.0813,0.5358,ok
HandMovementDirection,stl_linear,100,3,0.0,True,3,0.22976190476190475,1.459,0.0857,1.5447,ok
HandMovementDirection,stl_tree,100,3,0.0,True,3,0.37142857142857144,0.446,0.0857,0.5317,ok
HandMovementDirection,stl_linear,100,3,0.0,True,4,0.37142857142857144,1.5281,0.0852,1.6133,ok
HandMovementDirection,stl_tree,100,3,0.0,True,4,0.2833333333333333,0.4807,0.0852,0.5659,ok
HandMovementDirection,stl_linear,100,3,0.0,True,5,0.31785714285714284,1.389,0.0858,1.4748,ok
HandMovementDirection,stl_tree,100,3,0.0,True,5,0.25476190476190474,0.4891,0.0858,0.5749,ok
HandMovementDirection,stl_linear,100,3,0.0,True,6,0.39761904761904765,1.6016,0.0922,1.6938,ok
HandMovementDirection,stl_tree,100,3,0.0,True,6,0.24761904761904763,0.4469,0.0922,0.5391,ok
HandMovementDirection,stl_linear,100,3,0.0,True,7,0.375,1.6107,0.1021,1.7128,ok
HandMovementDirection,stl_tree,100,3,0.0,True,7,0.41666666666666663,0.4404,0.1021,0.5425,ok
HandMovementDirection,stl_linear,100,3,0.0,True,8,0.2952380952380952,1.4836,0.1014,1.585,ok
HandMovementDirection,stl_tree,100,3,0.0,True,8,0.26309523809523805,0.4465,0.1014,0.5479,ok
HandMovementDirection,stl_linear,100,3,0.0,True,9,0.3892857142857143,1.5865,0.0833,1.6698,ok
HandMovementDirection,stl_tree,100,3,0.0,True,9,0.28809523809523807,0.4838,0.0833,0.5671,ok
