dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
HandMovementDirection,stl_linear,1000,3,0.0,True,0,0.4035714285714285,2.0535,1.6706,3.7241,ok
HandMovementDirection,stl_tree,1000,3,0.0,True,0,0.3297619047619047,4.9807,1.6706,6.6513,ok
HandMovementDirection,stl_linear,1000,3,0.0,True,1,0.5238095238095237,1.9487,2.6936,4.6423,ok
HandMovementDirection,stl_tree,1000,3,0.0,True,1,0.2964285714285714,2.7101,2.6936,5.4037,ok
HandMovementDirection,stl_linear,1000,3,0.0,True,2,0.3083333333333333,2.0419,0.8801,2.922,ok
HandMovementDirection,stl_tree,1000,3,0.0,True,2,0.3130952380952381,2.5339,0.8801,3.414,ok
HandMovementDirection,stl_linear,1000,3,0.0,True,3,0.25,2.0359,0.851,2.8869,ok
HandMovementDirection,stl_tree,1000,3,0.0,True,3,0.29166666666666663,2.5308,0.851,3.3818,ok
HandMovementDirection,stl_linear,1000,3,0.0,True,4,0.39523809523809517,2.1962,1.0343,3.2305,ok
HandMovementDirection,stl_tree,1000,3,0.0,True,4,0.28809523809523807,2.5881,1.0343,3.6224,ok
HandMovementDirection,stl_linear,1000,3,0.0,True,5,0.38095238095238093,1.9278,0.9781,2.9059,ok
HandMovementDirection,stl_tree,1000,3,0.0,True,5,0.32261904761904764,2.4051,0.9781,3.3832,ok
HandMovementDirection,stl_linear,1000,3,0.0,True,6,0.5416666666666666,1.9973,1.0946,3.0919,ok
HandMovementDirection,stl_tree,1000,3,0.0,True,6,0.25357142857142856,2.5313,1.0946,3.6259,ok
HandMovementDirection,stl_linear,1000,3,0.0,True,7,0.375,2.2182,2.7929,5.0111,ok
HandMovementDirection,stl_tree,1000,3,0.0,True,7,0.3785714285714285,2.5269,2.7929,5.3198,ok
HandMovementDirection,stl_linear,1000,3,0.0,True,8,0.4035714285714285,2.0254,0.8476,2.873,ok
HandMovementDirection,stl_tree,1000,3,0.0,True,8,0.37857142857142856,2.631,0.8476,3.4786,ok
HandMovementDirection,stl_linear,1000,3,0.0,True,9,0.44047619047619047,1.9361,1.4418,3.3779,ok
HandMovementDirection,stl_tree,1000,3,0.0,True,9,0.325,2.4514,1.4418,3.8932,ok
