dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
HandMovementDirection,stl_linear,10000,3,0.0,True,0,0.5726190476190476,4.7864,8.3782,13.1646,ok
HandMovementDirection,stl_tree,10000,3,0.0,True,0,0.33571428571428574,25.4194,8.3782,33.7976,ok
HandMovementDirection,stl_linear,10000,3,0.0,True,1,0.5761904761904761,4.6239,8.528,13.1519,ok
HandMovementDirection,stl_tree,10000,3,0.0,True,1,0.26190476190476186,22.7062,8.528,31.2342,ok
HandMovementDirection,stl_linear,10000,3,0.0,True,2,0.4976190476190476,4.814,8.4277,13.2417,ok
HandMovementDirection,stl_tree,10000,3,0.0,True,2,0.35357142857142854,21.9126,8.4277,30.3403,ok
HandMovementDirection,stl_linear,10000,3,0.0,True,3,0.5214285714285714,4.4787,8.3168,12.7955,ok
HandMovementDirection,stl_tree,10000,3,0.0,True,3,0.3047619047619048,22.321,8.3168,30.6378,ok
HandMovementDirection,stl_linear,10000,3,0.0,True,4,0.4988095238095238,4.611,8.1449,12.7559,ok
HandMovementDirection,stl_tree,10000,3,0.0,True,4,0.35,21.4683,8.1449,29.6132,ok
HandMovementDirection,stl_linear,10000,3,0.0,True,5,0.4297619047619048,4.1674,8.1725,12.3399,ok
HandMovementDirection,stl_tree,10000,3,0.0,True,5,0.3404761904761905,22.475,8.1725,30.6475,ok
HandMovementDirection,stl_linear,10000,3,0.0,True,6,0.3869047619047619,4.7585,8.3088,13.0673,ok
HandMovementDirection,stl_tree,10000,3,0.0,True,6,0.2523809523809524,23.8538,8.3088,32.1626,ok
HandMovementDirection,stl_linear,10000,3,0.0,True,7,0.5369047619047619,4.9994,7.7388,12.7382,ok
HandMovementDirection,stl_tree,10000,3,0.0,True,7,0.27142857142857146,23.1713,7.7388,30.9101,ok
HandMovementDirection,stl_linear,10000,3,0.0,True,8,0.5630952380952381,5.4466,8.4566,13.9032,ok
HandMovementDirection,stl_tree,10000,3,0.0,True,8,0.3404761904761905,21.1021,8.4566,29.5587,ok
HandMovementDirection,stl_linear,10000,3,0.0,True,9,0.5428571428571429,4.8734,8.8441,13.7175,ok
HandMovementDirection,stl_tree,10000,3,0.0,True,9,0.20119047619047617,22.3579,8.8441,31.202,ok
