dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
HandMovementDirection,stl_linear,10,1,1.0,True,0,0.25,0.5157,1.7771,2.2928,ok
HandMovementDirection,stl_tree,10,1,1.0,True,0,0.19761904761904764,2.4317,1.7771,4.2088,ok
HandMovementDirection,stl_linear,10,1,1.0,True,1,0.40714285714285714,0.4252,0.4832,0.9084,ok
HandMovementDirection,stl_tree,10,1,1.0,True,1,0.18452380952380953,0.2274,0.4832,0.7106,ok
HandMovementDirection,stl_linear,10,1,1.0,True,2,0.26666666666666666,0.4882,1.4179,1.9061,ok
HandMovementDirection,stl_tree,10,1,1.0,True,2,0.2916666666666667,0.2243,1.4179,1.6422,ok
HandMovementDirection,stl_linear,10,1,1.0,True,3,0.3666666666666667,0.4348,0.4628,0.8976,ok
HandMovementDirection,stl_tree,10,1,1.0,True,3,0.1607142857142857,0.234,0.4628,0.6968,ok
HandMovementDirection,stl_linear,10,1,1.0,True,4,0.29166666666666663,0.5196,0.4727,0.9923,ok
HandMovementDirection,stl_tree,10,1,1.0,True,4,0.1607142857142857,0.2274,0.4727,0.7001,ok
HandMovementDirection,stl_linear,10,1,1.0,True,5,0.25,0.4317,0.0947,0.5264,ok
HandMovementDirection,stl_tree,10,1,1.0,True,5,0.30833333333333335,0.2281,0.0947,0.3228,ok
HandMovementDirection,stl_linear,10,1,1.0,True,6,0.25,0.4922,0.008,0.5002,ok
HandMovementDirection,stl_tree,10,1,1.0,True,6,0.2964285714285714,0.236,0.008,0.244,ok
HandMovementDirection,stl_linear,10,1,1.0,True,7,0.27380952380952384,0.456,0.0814,0.5374,ok
HandMovementDirection,stl_tree,10,1,1.0,True,7,0.2107142857142857,0.2366,0.0814,0.318,ok
HandMovementDirection,stl_linear,10,1,1.0,True,8,0.3202380952380952,0.9057,0.2536,1.1593,ok
HandMovementDirection,stl_tree,10,1,1.0,True,8,0.25476190476190474,0.2244,0.2536,0.478,ok
HandMovementDirection,stl_linear,10,1,1.0,True,9,0.4261904761904762,0.4995,0.5806,1.0801,ok
HandMovementDirection,stl_tree,10,1,1.0,True,9,0.2130952380952381,0.2371,0.5806,0.8177,ok
